Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,0
design__inferred_latch__count,0
design__instance__count,3635
design__instance__area,16493.3
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,1
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.00027976889396086335
power__switching__total,0.00007169356103986502
power__leakage__total,1.727028653419893E-8
power__total,0.0003514797135721892
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.26615221890845314
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.26345612548362707
timing__hold__ws__corner:nom_tt_025C_1v80,0.3402828670711061
timing__setup__ws__corner:nom_tt_025C_1v80,11.351345074090181
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.340283
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,14.220258
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,60
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,1
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.2738655768569119
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.2704667955043516
timing__hold__ws__corner:nom_ss_100C_1v60,0.9014497181643261
timing__setup__ws__corner:nom_ss_100C_1v60,7.016897483890386
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.901450
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,7.923217
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,1
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.26187952547734317
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.2599475985819787
timing__hold__ws__corner:nom_ff_n40C_1v95,0.1129418812663071
timing__setup__ws__corner:nom_ff_n40C_1v95,12.969508500922428
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.112942
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,16.559462
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,69
design__max_fanout_violation__count,1
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2604003475442255
clock__skew__worst_setup,0.25881200692912415
timing__hold__ws,0.11030160430562265
timing__setup__ws,6.889737864124019
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.110302
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,7.853732
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 111.52
design__core__bbox,2.76 2.72 158.24 108.8
design__io,45
design__die__area,17954.7
design__core__area,16493.3
design__instance__count__stdcell,868
design__instance__area__stdcell,6855.32
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.415643
design__instance__utilization__stdcell,0.415643
design__rows,39
design__rows:unithd,39
design__sites,13182
design__sites:unithd,13182
design__instance__count__class:buffer,2
design__instance__area__class:buffer,10.0096
design__instance__count__class:inverter,26
design__instance__area__class:inverter,97.5936
design__instance__count__class:sequential_cell,75
design__instance__area__class:sequential_cell,1625.31
design__instance__count__class:multi_input_combinational_cell,467
design__instance__area__class:multi_input_combinational_cell,4061.4
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,2767
design__instance__area__class:fill_cell,9637.99
design__instance__count__class:tap_cell,225
design__instance__area__class:tap_cell,281.52
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,219.537
design__instance__displacement__mean,0.232
design__instance__displacement__max,8.7
route__wirelength__estimated,15369.2
design__violations,0
design__instance__count__class:timing_repair_buffer,50
design__instance__area__class:timing_repair_buffer,489.219
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,23
design__instance__area__class:clock_buffer,290.278
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,25
global_route__vias,4751
global_route__wirelength,27420
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,656
route__net__special,2
route__drc_errors__iter:0,352
route__wirelength__iter:0,17224
route__drc_errors__iter:1,91
route__wirelength__iter:1,17047
route__drc_errors__iter:2,160
route__wirelength__iter:2,17028
route__drc_errors__iter:3,12
route__wirelength__iter:3,17023
route__drc_errors__iter:4,3
route__wirelength__iter:4,17020
route__drc_errors__iter:5,3
route__wirelength__iter:5,17020
route__drc_errors__iter:6,0
route__wirelength__iter:6,17020
route__drc_errors,0
route__wirelength,17020
route__vias,4866
route__vias__singlecut,4866
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,9
design__critical_disconnected_pin__count,0
route__wirelength__max,227.295
timing__unannotated_net__count__corner:nom_tt_025C_1v80,23
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,23
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,23
