Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,0
design__inferred_latch__count,0
design__instance__count,2492
design__instance__area,16493.3
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,66
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,1
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.00035126222064718604
power__switching__total,0.0001641622802708298
power__leakage__total,1.7283124265077277E-8
power__total,0.0005154418176971376
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.2756306649825323
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.2739746562721663
timing__hold__ws__corner:nom_tt_025C_1v80,0.3297401334199455
timing__setup__ws__corner:nom_tt_025C_1v80,5.679950004435341
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.329740
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,9.819586
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,520
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,1
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.2931604209033241
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.2887825893488087
timing__hold__ws__corner:nom_ss_100C_1v60,0.9011067702623202
timing__setup__ws__corner:nom_ss_100C_1v60,-2.431336978343656
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,-10.211533241355054
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,-2.431336978343656
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.901107
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,6
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,-0.215048
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,1
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,1
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.2694910759715645
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.2696262456286355
timing__hold__ws__corner:nom_ff_n40C_1v95,0.12767726126623827
timing__setup__ws__corner:nom_ff_n40C_1v95,8.089317000767942
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.127677
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,13.538547
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,616
design__max_fanout_violation__count,1
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.26751979166886397
clock__skew__worst_setup,0.26603470179797295
timing__hold__ws,0.12386947373983855
timing__setup__ws,-2.8800660449491566
timing__hold__tns,0.0
timing__setup__tns,-12.962374651653638
timing__hold__wns,0
timing__setup__wns,-2.8800660449491566
timing__hold_vio__count,0
timing__hold_r2r__ws,0.123869
timing__hold_r2r_vio__count,0
timing__setup_vio__count,19
timing__setup_r2r__ws,-0.681506
timing__setup_r2r_vio__count,3
design__die__bbox,0.0 0.0 161.0 111.52
design__core__bbox,2.76 2.72 158.24 108.8
design__io,45
design__die__area,17954.7
design__core__area,16493.3
design__instance__count__stdcell,1703
design__instance__area__stdcell,14482.6
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.878091
design__instance__utilization__stdcell,0.878091
design__rows,39
design__rows:unithd,39
design__sites,13182
design__sites:unithd,13182
design__instance__count__class:buffer,2
design__instance__area__class:buffer,10.0096
design__instance__count__class:inverter,51
design__instance__area__class:inverter,191.434
design__instance__count__class:sequential_cell,93
design__instance__area__class:sequential_cell,1978.15
design__instance__count__class:multi_input_combinational_cell,1180
design__instance__area__class:multi_input_combinational_cell,10555.1
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,789
design__instance__area__class:fill_cell,2010.68
design__instance__count__class:tap_cell,225
design__instance__area__class:tap_cell,281.52
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
flow__warnings__count:GPL-0302,1
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,3229
design__instance__displacement__mean,1.817
design__instance__displacement__max,107.58
route__wirelength__estimated,45428.6
design__violations,0
design__instance__count__class:timing_repair_buffer,128
design__instance__area__class:timing_repair_buffer,1188.64
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,20
design__instance__area__class:clock_buffer,267.757
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,18
global_route__vias,5373
global_route__wirelength,81702
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,4
design__instance__count__class:antenna_cell,4
design__instance__area__class:antenna_cell,10.0096
route__net,1490
route__net__special,2
route__drc_errors__iter:0,2529
route__wirelength__iter:0,55731
route__drc_errors__iter:1,1826
route__wirelength__iter:1,55159
route__drc_errors__iter:2,1714
route__wirelength__iter:2,54919
route__drc_errors__iter:3,696
route__wirelength__iter:3,54667
route__drc_errors__iter:4,207
route__wirelength__iter:4,54613
route__drc_errors__iter:5,139
route__wirelength__iter:5,54602
route__drc_errors__iter:6,78
route__wirelength__iter:6,54627
route__drc_errors__iter:7,22
route__wirelength__iter:7,54614
route__drc_errors__iter:8,5
route__wirelength__iter:8,54615
route__drc_errors__iter:9,5
route__wirelength__iter:9,54615
route__drc_errors__iter:10,5
route__wirelength__iter:10,54615
route__drc_errors__iter:11,0
route__wirelength__iter:11,54611
route__drc_errors,0
route__wirelength,54611
route__vias,13825
route__vias__singlecut,13825
route__vias__multicut,0
