Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,0
design__inferred_latch__count,0
design__instance__count,2334
design__instance__area,16493.3
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,22
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,0
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0005575661780312657
power__switching__total,0.0006435021059587598
power__leakage__total,1.817756078992261E-8
power__total,0.0012010864447802305
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.2638354609462942
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.263100632061088
timing__hold__ws__corner:nom_tt_025C_1v80,0.3512384926768022
timing__setup__ws__corner:nom_tt_025C_1v80,6.48669580854159
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.351238
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,Infinity
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,222
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,0
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.27446770633134676
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.2737547765959207
timing__hold__ws__corner:nom_ss_100C_1v60,0.8975689889831456
timing__setup__ws__corner:nom_ss_100C_1v60,-2.617337531900872
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,-10.842980153985717
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,-2.617337531900872
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.897569
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,6
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,11.196871
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,0
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.2610967627116932
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.26035427328740046
timing__hold__ws__corner:nom_ff_n40C_1v95,0.12943724236580095
timing__setup__ws__corner:nom_ff_n40C_1v95,9.959347406446776
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.129437
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,Infinity
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,253
design__max_fanout_violation__count,0
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.259805101452738
clock__skew__worst_setup,0.25920399893463
timing__hold__ws,0.12702611544387996
timing__setup__ws,-3.02242683879861
timing__hold__tns,0.0
timing__setup__tns,-12.847980820674662
timing__hold__wns,0
timing__setup__wns,-3.02242683879861
timing__hold_vio__count,0
timing__hold_r2r__ws,0.127026
timing__hold_r2r_vio__count,0
timing__setup_vio__count,18
timing__setup_r2r__ws,11.059107
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 111.52
design__core__bbox,2.76 2.72 158.24 108.8
design__io,45
design__die__area,17954.7
design__core__area,16493.3
design__instance__count__stdcell,1721
design__instance__area__stdcell,15009.4
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.910029
design__instance__utilization__stdcell,0.910029
design__rows,39
design__rows:unithd,39
design__sites,13182
design__sites:unithd,13182
design__instance__count__class:buffer,2
design__instance__area__class:buffer,10.0096
design__instance__count__class:inverter,41
design__instance__area__class:inverter,153.898
design__instance__count__class:sequential_cell,28
design__instance__area__class:sequential_cell,605.581
design__instance__count__class:multi_input_combinational_cell,1293
design__instance__area__class:multi_input_combinational_cell,12889.9
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,613
design__instance__area__class:fill_cell,1483.92
design__instance__count__class:tap_cell,225
design__instance__area__class:tap_cell,281.52
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
flow__warnings__count:GPL-0302,1
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,5204.76
design__instance__displacement__mean,2.899
design__instance__displacement__max,137.94
route__wirelength__estimated,42463.9
design__violations,0
design__instance__count__class:timing_repair_buffer,123
design__instance__area__class:timing_repair_buffer,933.395
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,5
design__instance__area__class:clock_buffer,125.12
design__instance__count__setup_buffer,35
design__instance__count__hold_buffer,3
flow__warnings__count:RSZ-0062,1
global_route__vias,37
global_route__wirelength,72636
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,2
design__instance__count__class:antenna_cell,4
design__instance__area__class:antenna_cell,10.0096
route__net,1511
route__net__special,2
route__drc_errors__iter:0,63
route__wirelength__iter:0,48227
route__drc_errors__iter:1,5
route__wirelength__iter:1,48223
route__drc_errors__iter:2,2
route__wirelength__iter:2,48218
route__drc_errors__iter:3,0
route__wirelength__iter:3,48219
route__drc_errors__iter:4,66
route__wirelength__iter:4,48235
route__drc_errors__iter:5,15
route__wirelength__iter:5,48226
route__drc_errors__iter:6,8
route__wirelength__iter:6,48206
route__drc_errors__iter:7,7
route__wirelength__iter:7,48205
route__drc_errors__iter:8,1
route__wirelength__iter:8,48206
route__drc_errors__iter:9,0
route__wirelength__iter:9,48205
route__drc_errors,0
route__wirelength,48219
route__vias,12208
route__vias__singlecut,12208
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,12
design__critical_disconnected_pin__count,0
route__wirelength__max,252.08
