Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,12
design__inferred_latch__count,0
design__instance__count,48642
design__instance__area,225802
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,570
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,14
design__max_cap_violation__count__corner:nom_tt_025C_1v80,4
power__internal__total,0.0009948394726961851
power__switching__total,0.0005187623319216073
power__leakage__total,2.2353519568696356E-7
power__total,0.0015138252638280392
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.33071943342208826
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.3306627010239254
timing__hold__ws__corner:nom_tt_025C_1v80,0.3235254378192377
timing__setup__ws__corner:nom_tt_025C_1v80,5.8193780330600005
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.323525
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,5.819378
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,2533
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,14
design__max_cap_violation__count__corner:nom_ss_100C_1v60,26
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.3781939035653592
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.37389756238315597
timing__hold__ws__corner:nom_ss_100C_1v60,0.896663213502888
timing__setup__ws__corner:nom_ss_100C_1v60,-7.01589384224774
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,-112.01624123104197
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,-7.01589384224774
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.896663
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,16
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,-7.015894
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,16
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,257
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,14
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.31033573811348014
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.3102761191353716
timing__hold__ws__corner:nom_ff_n40C_1v95,0.11172796337685001
timing__setup__ws__corner:nom_ff_n40C_1v95,10.949942595916887
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.111728
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,10.949943
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,2871
design__max_fanout_violation__count,14
design__max_cap_violation__count,32
clock__skew__worst_hold,-0.30300582345299576
clock__skew__worst_setup,0.30295558585971066
timing__hold__ws,0.10923595670529762
timing__setup__ws,-7.676881569953101
timing__hold__tns,0.0
timing__setup__tns,-122.57619977087217
timing__hold__wns,0
timing__setup__wns,-7.676881569953101
timing__hold_vio__count,0
timing__hold_r2r__ws,0.109236
timing__hold_r2r_vio__count,0
timing__setup_vio__count,48
timing__setup_r2r__ws,-7.676882
timing__setup_r2r_vio__count,48
design__die__bbox,0.0 0.0 1030.4 225.76
design__core__bbox,2.76 2.72 1027.64 223.04
design__io,45
design__die__area,232623
design__core__area,225802
design__instance__count__stdcell,11689
design__instance__area__stdcell,97637.4
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.432404
design__instance__utilization__stdcell,0.432404
design__rows,81
design__rows:unithd,81
design__sites,180468
design__sites:unithd,180468
design__instance__count__class:buffer,6
design__instance__area__class:buffer,28.7776
design__instance__count__class:inverter,200
design__instance__area__class:inverter,750.72
design__instance__count__class:sequential_cell,1052
design__instance__area__class:sequential_cell,23727.8
design__instance__count__class:multi_input_combinational_cell,5492
design__instance__area__class:multi_input_combinational_cell,55261.8
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,36953
design__instance__area__class:fill_cell,128164
design__instance__count__class:tap_cell,3278
design__instance__area__class:tap_cell,4101.43
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,2089.28
design__instance__displacement__mean,0.18
design__instance__displacement__max,21.04
route__wirelength__estimated,390369
design__violations,0
design__instance__count__class:timing_repair_buffer,1351
design__instance__area__class:timing_repair_buffer,12087.8
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,55
design__instance__area__class:clock_buffer,1041
design__instance__count__setup_buffer,126
design__instance__count__hold_buffer,88
flow__warnings__count:RSZ-0062,1
global_route__vias,165
global_route__wirelength,623877
flow__warnings__count:GRT-0115,1
flow__warnings__count:GRT-0704,1
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,55
design__instance__count__class:antenna_cell,255
design__instance__area__class:antenna_cell,638.112
flow__warnings__count:GRT-0243,1
route__net,8161
route__net__special,2
route__drc_errors__iter:0,227
route__wirelength__iter:0,451435
route__drc_errors__iter:1,90
route__wirelength__iter:1,451431
route__drc_errors__iter:2,56
route__wirelength__iter:2,451441
route__drc_errors__iter:3,32
route__wirelength__iter:3,451419
route__drc_errors__iter:4,25
route__wirelength__iter:4,451419
route__drc_errors__iter:5,12
route__wirelength__iter:5,451387
route__drc_errors__iter:6,0
route__wirelength__iter:6,451386
route__drc_errors__iter:7,0
route__wirelength__iter:7,451325
route__drc_errors__iter:8,14
route__wirelength__iter:8,451331
route__drc_errors__iter:9,0
route__wirelength__iter:9,451329
route__drc_errors,0
route__wirelength,451386
route__vias,72483
route__vias__singlecut,72483
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
