Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,0
design__inferred_latch__count,0
design__instance__count,2475
design__instance__area,17255.3
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,10
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0005636205314658582
power__switching__total,0.00022922278731130064
power__leakage__total,2.0101513342751787E-8
power__total,0.0007928633713163435
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.2611749501704137
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.2597383215359181
timing__hold__ws__corner:nom_tt_025C_1v80,0.29881542530591365
timing__setup__ws__corner:nom_tt_025C_1v80,13.015921153734919
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.298815
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,14.795256
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,45
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,10
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.2654511408041501
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.26471178775999066
timing__hold__ws__corner:nom_ss_100C_1v60,0.8247731620007507
timing__setup__ws__corner:nom_ss_100C_1v60,9.509413081691656
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.824773
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,9.509413
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,10
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.25882047237992634
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.2573274444141847
timing__hold__ws__corner:nom_ff_n40C_1v95,0.10917206336842342
timing__setup__ws__corner:nom_ff_n40C_1v95,13.984335862902551
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.109172
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,16.790051
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,56
design__max_fanout_violation__count,10
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.25779371034213855
clock__skew__worst_setup,0.25669245233729154
timing__hold__ws,0.1072383878717457
timing__setup__ws,9.328344583038524
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.107238
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,9.328344
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 225.76
design__core__bbox,2.76 2.72 158.24 223.04
design__io,45
design__die__area,36347.4
design__core__area,34255.4
design__instance__count__stdcell,2475
design__instance__area__stdcell,17255.3
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.503726
design__instance__utilization__stdcell,0.503726
design__instance__count__class:buffer,5
design__instance__count__class:inverter,60
design__instance__count__class:sequential_cell,152
design__instance__count__class:multi_input_combinational_cell,1490
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,2453
design__instance__count__class:tap_cell,456
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,47955.2
design__violations,0
design__instance__count__class:timing_repair_buffer,278
design__instance__count__class:clock_buffer,18
design__instance__count__class:clock_inverter,14
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,98
antenna__violating__nets,1
antenna__violating__pins,1
route__antenna_violation__count,1
antenna_diodes_count,2
design__instance__count__class:antenna_cell,2
route__net,2021
route__net__special,2
route__drc_errors__iter:1,1234
route__wirelength__iter:1,59381
route__drc_errors__iter:2,784
route__wirelength__iter:2,58579
route__drc_errors__iter:3,581
route__wirelength__iter:3,58517
route__drc_errors__iter:4,200
route__wirelength__iter:4,58399
route__drc_errors__iter:5,57
route__wirelength__iter:5,58421
route__drc_errors__iter:6,0
route__wirelength__iter:6,58399
route__drc_errors,0
route__wirelength,58399
route__vias,16176
route__vias__singlecut,16176
route__vias__multicut,0
design__disconnected_pin__count,16
design__critical_disconnected_pin__count,0
route__wirelength__max,392.38
timing__unannotated_net__count__corner:nom_tt_025C_1v80,47
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,47
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,47
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,10
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.2599006361467089
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.2588336007675638
timing__hold__ws__corner:min_tt_025C_1v80,0.2942607907297263
timing__setup__ws__corner:min_tt_025C_1v80,13.064290463661345
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
