Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,0
design__inferred_latch__count,0
design__instance__count,2477
design__instance__area,16493.3
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,35
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,3
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.00042356961057521403
power__switching__total,0.00017130757623817772
power__leakage__total,1.674308691690385E-8
power__total,0.0005948939360678196
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.267173374319808
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.266793844568106
timing__hold__ws__corner:nom_tt_025C_1v80,0.33050213501444786
timing__setup__ws__corner:nom_tt_025C_1v80,9.912507539802329
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.330502
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,17.132442
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,582
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,3
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.27834382808684477
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.27798000799138556
timing__hold__ws__corner:nom_ss_100C_1v60,0.876020614177615
timing__setup__ws__corner:nom_ss_100C_1v60,2.8419756241646263
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.876021
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,8.671326
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,3
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.2637312110013335
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.2633441872440034
timing__hold__ws__corner:nom_ff_n40C_1v95,0.1255585670972741
timing__setup__ws__corner:nom_ff_n40C_1v95,12.269530627667935
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.125559
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,18.175943
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,701
design__max_fanout_violation__count,3
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.261179890663013
clock__skew__worst_setup,0.26097316712998125
timing__hold__ws,0.12153101091693433
timing__setup__ws,2.6722287361476083
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.121531
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,8.466532
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 111.52
design__core__bbox,2.76 2.72 158.24 108.8
design__io,45
design__die__area,17954.7
design__core__area,16493.3
design__instance__count__stdcell,1628
design__instance__area__stdcell,14176.1
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.859505
design__instance__utilization__stdcell,0.859505
design__rows,39
design__rows:unithd,39
design__sites,13182
design__sites:unithd,13182
design__instance__count__class:buffer,2
design__instance__area__class:buffer,10.0096
design__instance__count__class:inverter,37
design__instance__area__class:inverter,138.883
design__instance__count__class:sequential_cell,115
design__instance__area__class:sequential_cell,2446.1
design__instance__count__class:multi_input_combinational_cell,1065
design__instance__area__class:multi_input_combinational_cell,9622.98
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,849
design__instance__area__class:fill_cell,2317.22
design__instance__count__class:tap_cell,225
design__instance__area__class:tap_cell,281.52
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
flow__warnings__count:GPL-0302,1
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,3118.86
design__instance__displacement__mean,1.848
design__instance__displacement__max,86.68
route__wirelength__estimated,42099.2
design__violations,0
design__instance__count__class:timing_repair_buffer,135
design__instance__area__class:timing_repair_buffer,1286.23
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,30
design__instance__area__class:clock_buffer,342.829
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,20
global_route__vias,546
global_route__wirelength,81654
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,19
design__instance__count__class:antenna_cell,19
design__instance__area__class:antenna_cell,47.5456
route__net,1390
route__net__special,2
route__drc_errors__iter:0,2288
route__wirelength__iter:0,53491
route__drc_errors__iter:1,1589
route__wirelength__iter:1,53042
route__drc_errors__iter:2,1316
route__wirelength__iter:2,52413
route__drc_errors__iter:3,685
route__wirelength__iter:3,52157
route__drc_errors__iter:4,391
route__wirelength__iter:4,52168
route__drc_errors__iter:5,245
route__wirelength__iter:5,52209
route__drc_errors__iter:6,73
route__wirelength__iter:6,52183
route__drc_errors__iter:7,72
route__wirelength__iter:7,52183
route__drc_errors__iter:8,70
route__wirelength__iter:8,52220
route__drc_errors__iter:9,24
route__wirelength__iter:9,52239
route__drc_errors__iter:10,1
route__wirelength__iter:10,52232
route__drc_errors__iter:11,1
route__wirelength__iter:11,52232
route__drc_errors__iter:12,0
route__wirelength__iter:12,52207
route__drc_errors,0
route__wirelength,52207
route__vias,12695
route__vias__singlecut,12695
route__vias__multicut,0
