Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,3
design__inferred_latch__count,0
design__instance__count,3063
design__instance__area,16493.3
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,275
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,5
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.00006123233470134437
power__switching__total,0.000020018933355459012
power__leakage__total,1.5741072445507598E-8
power__total,0.00008126700413413346
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.2517654489481136
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.2534068027141401
timing__hold__ws__corner:nom_tt_025C_1v80,0.3672737218307267
timing__setup__ws__corner:nom_tt_025C_1v80,30.021571856023165
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.367274
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,30.387682
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,1070
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,5
design__max_cap_violation__count__corner:nom_ss_100C_1v60,9
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.25228700398425746
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.2542021942670524
timing__hold__ws__corner:nom_ss_100C_1v60,1.0013781198794431
timing__setup__ws__corner:nom_ss_100C_1v60,21.706489664544993
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,1.001378
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,21.706490
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,69
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,5
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.25146563321183424
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.2529674596952948
timing__hold__ws__corner:nom_ff_n40C_1v95,0.13460777318231784
timing__setup__ws__corner:nom_ff_n40C_1v95,30.6611846812755
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.134608
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,37.336029
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,1173
design__max_fanout_violation__count,5
design__max_cap_violation__count,13
clock__skew__worst_hold,-0.2510490220100611
clock__skew__worst_setup,0.25216246471294795
timing__hold__ws,0.12995566102181155
timing__setup__ws,21.08622314217772
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.129956
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,21.086224
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 111.52
design__core__bbox,2.76 2.72 158.24 108.8
design__io,45
design__die__area,17954.7
design__core__area,16493.3
design__instance__count__stdcell,1449
design__instance__area__stdcell,11433.5
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.693218
design__instance__utilization__stdcell,0.693218
design__rows,39
design__rows:unithd,39
design__sites,13182
design__sites:unithd,13182
design__instance__count__class:buffer,2
design__instance__area__class:buffer,10.0096
design__instance__count__class:inverter,19
design__instance__area__class:inverter,71.3184
design__instance__count__class:sequential_cell,28
design__instance__area__class:sequential_cell,595.571
design__instance__count__class:multi_input_combinational_cell,951
design__instance__area__class:multi_input_combinational_cell,8495.65
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,1614
design__instance__area__class:fill_cell,5059.85
design__instance__count__class:tap_cell,225
design__instance__area__class:tap_cell,281.52
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
flow__warnings__count:GPL-0302,1
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,357.828
design__instance__displacement__mean,0.237
design__instance__displacement__max,29.5
route__wirelength__estimated,49933.2
design__violations,0
design__instance__count__class:timing_repair_buffer,196
design__instance__area__class:timing_repair_buffer,1796.72
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,5
design__instance__area__class:clock_buffer,125.12
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,4
global_route__vias,100
global_route__wirelength,96399
flow__warnings__count:GRT-0115,1
flow__warnings__count:GRT-0704,1
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,9
design__instance__count__class:antenna_cell,23
design__instance__area__class:antenna_cell,57.5552
route__net,1220
route__net__special,2
route__drc_errors__iter:0,61
route__wirelength__iter:0,64484
route__drc_errors__iter:1,41
route__wirelength__iter:1,64462
route__drc_errors__iter:2,31
route__wirelength__iter:2,64467
route__drc_errors__iter:3,25
route__wirelength__iter:3,64455
route__drc_errors__iter:4,25
route__wirelength__iter:4,64455
route__drc_errors__iter:5,0
route__wirelength__iter:5,64432
route__drc_errors__iter:6,351
route__wirelength__iter:6,64272
route__drc_errors__iter:7,310
route__wirelength__iter:7,64324
route__drc_errors__iter:8,267
route__wirelength__iter:8,64364
route__drc_errors__iter:9,267
route__wirelength__iter:9,64364
route__drc_errors__iter:10,193
route__wirelength__iter:10,64408
route__drc_errors__iter:11,74
route__wirelength__iter:11,64435
route__drc_errors__iter:12,54
route__wirelength__iter:12,64423
route__drc_errors__iter:13,53
