Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,1
design__inferred_latch__count,0
design__instance__count,2588
design__instance__area,16493.3
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,43
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,1
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.000784571107942611
power__switching__total,0.0002164227917091921
power__leakage__total,1.7990055667382876E-8
power__total,0.001001011929474771
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.2705531153469575
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.25879046860183724
timing__hold__ws__corner:nom_tt_025C_1v80,0.3409994605426171
timing__setup__ws__corner:nom_tt_025C_1v80,7.946332705650225
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.340999
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,Infinity
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,527
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,1
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.2815436574677655
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.2641053839267901
timing__hold__ws__corner:nom_ss_100C_1v60,0.9061207596279376
timing__setup__ws__corner:nom_ss_100C_1v60,-0.643122906466261
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,-3.3609365131157865
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,-0.643122906466261
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.906121
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,6
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,12.865005
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,1
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.26553623940139437
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.256384448705974
timing__hold__ws__corner:nom_ff_n40C_1v95,0.12381040987325805
timing__setup__ws__corner:nom_ff_n40C_1v95,10.836809090151112
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.123810
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,Infinity
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,584
design__max_fanout_violation__count,1
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.26313826862268724
clock__skew__worst_setup,0.25560004836131633
timing__hold__ws,0.12100115696344668
timing__setup__ws,-0.8818279689390676
timing__hold__tns,0.0
timing__setup__tns,-4.795982413622704
timing__hold__wns,0
timing__setup__wns,-0.8818279689390676
timing__hold_vio__count,0
timing__hold_r2r__ws,0.121001
timing__hold_r2r_vio__count,0
timing__setup_vio__count,18
timing__setup_r2r__ws,12.768419
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 111.52
design__core__bbox,2.76 2.72 158.24 108.8
design__io,45
design__die__area,17954.7
design__core__area,16493.3
design__instance__count__stdcell,1448
design__instance__area__stdcell,13178.9
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.799044
design__instance__utilization__stdcell,0.799044
design__rows,39
design__rows:unithd,39
design__sites,13182
design__sites:unithd,13182
design__instance__count__class:buffer,2
design__instance__area__class:buffer,10.0096
design__instance__count__class:inverter,26
design__instance__area__class:inverter,97.5936
design__instance__count__class:sequential_cell,153
design__instance__area__class:sequential_cell,3254.37
design__instance__count__class:multi_input_combinational_cell,881
design__instance__area__class:multi_input_combinational_cell,7544.74
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,1140
design__instance__area__class:fill_cell,3314.43
design__instance__count__class:tap_cell,225
design__instance__area__class:tap_cell,281.52
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
flow__warnings__count:GPL-0302,1
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,152.814
design__instance__displacement__mean,0.101
design__instance__displacement__max,39.48
route__wirelength__estimated,44632.8
design__violations,0
design__instance__count__class:timing_repair_buffer,87
design__instance__area__class:timing_repair_buffer,847.062
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,56
design__instance__area__class:clock_buffer,1098.55
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,3
global_route__vias,43
global_route__wirelength,85373
flow__warnings__count:GRT-0115,1
flow__warnings__count:GRT-0273,2
flow__warnings__count:GRT-0704,1
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,3
design__instance__count__class:antenna_cell,18
design__instance__area__class:antenna_cell,45.0432
route__net,1217
route__net__special,2
route__drc_errors__iter:0,6
route__wirelength__iter:0,56227
route__drc_errors__iter:1,0
route__wirelength__iter:1,56218
route__drc_errors__iter:2,2248
route__wirelength__iter:2,55985
route__drc_errors__iter:3,1658
route__wirelength__iter:3,56061
route__drc_errors__iter:4,995
route__wirelength__iter:4,56101
route__drc_errors__iter:5,859
route__wirelength__iter:5,56085
route__drc_errors__iter:6,640
route__wirelength__iter:6,56058
route__drc_errors__iter:7,483
route__wirelength__iter:7,56063
route__drc_errors__iter:8,320
route__wirelength__iter:8,56079
route__drc_errors__iter:9,243
route__wirelength__iter:9,56036
route__drc_errors__iter:10,216
route__wirelength__iter:10,56065
route__drc_errors__iter:11,163
route__wirelength__iter:11,56154
