Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,0
design__inferred_latch__count,0
design__instance__count,2272
design__instance__area,16493.3
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,22
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,0
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0003660130314528942
power__switching__total,0.00015781378897372633
power__leakage__total,1.6483229003938504E-8
power__total,0.0005238432786427438
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.2557910622381053
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.25632380277153866
timing__hold__ws__corner:nom_tt_025C_1v80,0.3339871251873085
timing__setup__ws__corner:nom_tt_025C_1v80,12.952520311808366
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.333987
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,14.742884
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,212
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,0
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.25978156472395025
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.26025024538705094
timing__hold__ws__corner:nom_ss_100C_1v60,0.8858110606860135
timing__setup__ws__corner:nom_ss_100C_1v60,9.579187492138233
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.885811
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,9.579187
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,0
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.25507732759096363
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.25577105046752047
timing__hold__ws__corner:nom_ff_n40C_1v95,0.11709727963154805
timing__setup__ws__corner:nom_ff_n40C_1v95,13.93528176739517
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.117097
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,16.571531
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,262
design__max_fanout_violation__count,0
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2542945093141608
clock__skew__worst_setup,0.25449612582113484
timing__hold__ws,0.11519552304773105
timing__setup__ws,9.50117789115129
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.115196
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,9.501178
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 111.52
design__core__bbox,2.76 2.72 158.24 108.8
design__io,45
design__die__area,17954.7
design__core__area,16493.3
design__instance__count__stdcell,1457
design__instance__area__stdcell,14353.8
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.870278
design__instance__utilization__stdcell,0.870278
design__rows,39
design__rows:unithd,39
design__sites,13182
design__sites:unithd,13182
design__instance__count__class:buffer,2
design__instance__area__class:buffer,10.0096
design__instance__count__class:inverter,83
design__instance__area__class:inverter,311.549
design__instance__count__class:sequential_cell,289
design__instance__area__class:sequential_cell,6147.15
design__instance__count__class:multi_input_combinational_cell,730
design__instance__area__class:multi_input_combinational_cell,6232.23
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,815
design__instance__area__class:fill_cell,2139.55
design__instance__count__class:tap_cell,225
design__instance__area__class:tap_cell,281.52
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
flow__warnings__count:GPL-0302,1
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,1088.54
design__instance__displacement__mean,0.709
design__instance__displacement__max,76.16
route__wirelength__estimated,25562.7
design__violations,0
design__instance__count__class:timing_repair_buffer,111
design__instance__area__class:timing_repair_buffer,1091.05
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,16
design__instance__area__class:clock_buffer,277.766
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,24
global_route__vias,3240
global_route__wirelength,47265
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,1
design__instance__count__class:antenna_cell,1
design__instance__area__class:antenna_cell,2.5024
route__net,1243
route__net__special,2
route__drc_errors__iter:0,580
route__wirelength__iter:0,30507
route__drc_errors__iter:1,294
route__wirelength__iter:1,30243
route__drc_errors__iter:2,253
route__wirelength__iter:2,30179
route__drc_errors__iter:3,17
route__wirelength__iter:3,30050
route__drc_errors__iter:4,1
route__wirelength__iter:4,30060
route__drc_errors__iter:5,1
route__wirelength__iter:5,30060
route__drc_errors__iter:6,0
route__wirelength__iter:6,30061
route__drc_errors,0
route__wirelength,30061
route__vias,8625
route__vias__singlecut,8625
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,13
design__critical_disconnected_pin__count,0
route__wirelength__max,260.08
timing__unannotated_net__count__corner:nom_tt_025C_1v80,36
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,36
