Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,4
design__inferred_latch__count,0
design__instance__count,7289
design__instance__area,34255.4
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,842
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,10
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0001259542623301968
power__switching__total,0.00004510430517257191
power__leakage__total,3.2910634217842016E-8
power__total,0.00017109148029703647
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.2534841297499922
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.2537527204628209
timing__hold__ws__corner:nom_tt_025C_1v80,0.3475216324186909
timing__setup__ws__corner:nom_tt_025C_1v80,10.233360226636494
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.347522
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,10.233360
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,1882
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,10
design__max_cap_violation__count__corner:nom_ss_100C_1v60,40
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.25521843694138435
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.25547423233349237
timing__hold__ws__corner:nom_ss_100C_1v60,0.9738183868259156
timing__setup__ws__corner:nom_ss_100C_1v60,1.132866277296638
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.973818
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,1.132866
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,268
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,10
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.2524970859420337
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.2527715330814829
timing__hold__ws__corner:nom_ff_n40C_1v95,0.12067086560427942
timing__setup__ws__corner:nom_ff_n40C_1v95,13.63418572188757
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.120671
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,13.634186
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,2045
design__max_fanout_violation__count,10
design__max_cap_violation__count,50
clock__skew__worst_hold,-0.252155747863459
clock__skew__worst_setup,0.25229422043412164
timing__hold__ws,0.11686035803139244
timing__setup__ws,0.38128967729035407
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.116860
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,0.381290
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 225.76
design__core__bbox,2.76 2.72 158.24 223.04
design__io,45
design__die__area,36347.4
design__core__area,34255.4
design__instance__count__stdcell,2378
design__instance__area__stdcell,17833.4
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.5206
design__instance__utilization__stdcell,0.5206
design__rows,81
design__rows:unithd,81
design__sites,27378
design__sites:unithd,27378
design__instance__count__class:buffer,2
design__instance__area__class:buffer,10.0096
design__instance__count__class:inverter,20
design__instance__area__class:inverter,75.072
design__instance__count__class:sequential_cell,28
design__instance__area__class:sequential_cell,595.571
design__instance__count__class:multi_input_combinational_cell,1488
design__instance__area__class:multi_input_combinational_cell,13240.2
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,4911
design__instance__area__class:fill_cell,16422
design__instance__count__class:tap_cell,456
design__instance__area__class:tap_cell,570.547
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,421.585
design__instance__displacement__mean,0.168
design__instance__displacement__max,55.58
route__wirelength__estimated,100645
design__violations,0
design__instance__count__class:timing_repair_buffer,340
design__instance__area__class:timing_repair_buffer,3119.24
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,5
design__instance__area__class:clock_buffer,125.12
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,5
global_route__vias,57
global_route__wirelength,201521
flow__warnings__count:GRT-0115,1
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,14
design__instance__count__class:antenna_cell,39
design__instance__area__class:antenna_cell,97.5936
route__net,1902
route__net__special,2
route__drc_errors__iter:0,15
route__wirelength__iter:0,133238
route__drc_errors__iter:1,0
route__wirelength__iter:1,133235
route__drc_errors__iter:2,404
route__wirelength__iter:2,133145
route__drc_errors__iter:3,361
route__wirelength__iter:3,133187
route__drc_errors__iter:4,256
route__wirelength__iter:4,133221
route__drc_errors__iter:5,180
route__wirelength__iter:5,133221
route__drc_errors__iter:6,148
route__wirelength__iter:6,133209
route__drc_errors__iter:7,148
route__wirelength__iter:7,133209
route__drc_errors__iter:8,135
route__wirelength__iter:8,133168
route__drc_errors__iter:9,94
route__wirelength__iter:9,133123
route__drc_errors__iter:10,9
route__wirelength__iter:10,133160
route__drc_errors__iter:11,3
route__wirelength__iter:11,133166
route__drc_errors__iter:12,3
route__wirelength__iter:12,133166
route__drc_errors__iter:13,0
route__wirelength__iter:13,133176
route__drc_errors__iter:14,105
route__wirelength__iter:14,132998
