Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,457
design__inferred_latch__count,0
design__instance__count,2801
design__instance__area,16493.3
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,1
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0004047506663482636
power__switching__total,0.00011343377991579473
power__leakage__total,1.849002906340047E-8
power__total,0.0005182029563002288
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.2585643716764779
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.2580546405158807
timing__hold__ws__corner:nom_tt_025C_1v80,0.3278339359439044
timing__setup__ws__corner:nom_tt_025C_1v80,9.405512190859778
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.327834
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,9.405512
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,66
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,1
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.26489908238954196
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.2644151361594209
timing__hold__ws__corner:nom_ss_100C_1v60,0.9156684558651363
timing__setup__ws__corner:nom_ss_100C_1v60,-0.8727863123708047
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,-1.0594991850407658
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,-0.8727863123708047
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.915668
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,11
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,-0.872786
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,11
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,1
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.2570329577485742
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.2565118468016528
timing__hold__ws__corner:nom_ff_n40C_1v95,0.10996853738881532
timing__setup__ws__corner:nom_ff_n40C_1v95,13.246857319350887
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.109969
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,13.246858
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,99
design__max_fanout_violation__count,1
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.25592412247136986
clock__skew__worst_setup,0.25562538920257005
timing__hold__ws,0.10791245980021091
timing__setup__ws,-1.047705951650452
timing__hold__tns,0.0
timing__setup__tns,-3.062215456769635
timing__hold__wns,0
timing__setup__wns,-1.047705951650452
timing__hold_vio__count,0
timing__hold_r2r__ws,0.107912
timing__hold_r2r_vio__count,0
timing__setup_vio__count,23
timing__setup_r2r__ws,-1.047706
timing__setup_r2r_vio__count,23
design__die__bbox,0.0 0.0 161.0 111.52
design__core__bbox,2.76 2.72 158.24 108.8
design__io,45
design__die__area,17954.7
design__core__area,16493.3
design__instance__count__stdcell,1297
design__instance__area__stdcell,11661.2
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.707025
design__instance__utilization__stdcell,0.707025
design__rows,39
design__rows:unithd,39
design__sites,13182
design__sites:unithd,13182
design__instance__count__class:buffer,1
design__instance__area__class:buffer,5.0048
design__instance__count__class:inverter,17
design__instance__area__class:inverter,63.8112
design__instance__count__class:sequential_cell,117
design__instance__area__class:sequential_cell,2488.64
design__instance__count__class:multi_input_combinational_cell,747
design__instance__area__class:multi_input_combinational_cell,6916.63
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,1504
design__instance__area__class:fill_cell,4832.13
design__instance__count__class:tap_cell,225
design__instance__area__class:tap_cell,281.52
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
flow__warnings__count:GPL-0302,1
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,2598.95
design__instance__displacement__mean,1.89
design__instance__displacement__max,49.92
route__wirelength__estimated,21884.4
design__violations,0
design__instance__count__class:timing_repair_buffer,162
design__instance__area__class:timing_repair_buffer,1577.76
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,28
design__instance__area__class:clock_buffer,327.814
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,102
global_route__vias,7210
global_route__wirelength,38426
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,1080
route__net__special,2
route__drc_errors__iter:0,411
route__wirelength__iter:0,23667
route__drc_errors__iter:1,107
route__wirelength__iter:1,23417
route__drc_errors__iter:2,110
route__wirelength__iter:2,23340
route__drc_errors__iter:3,0
route__wirelength__iter:3,23285
route__drc_errors,0
route__wirelength,23285
route__vias,7241
route__vias__singlecut,7241
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,14
design__critical_disconnected_pin__count,0
route__wirelength__max,236.15
timing__unannotated_net__count__corner:nom_tt_025C_1v80,48
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,48
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,48
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
