Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,0
design__inferred_latch__count,0
design__instance__count,4490
design__instance__area,16493.3
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,0
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.00007299469143617898
power__switching__total,0.000018907714547822252
power__leakage__total,1.630473001057453E-8
power__total,0.00009191870776703581
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.25059857676065556
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.25029665160056974
timing__hold__ws__corner:nom_tt_025C_1v80,0.29425523961444616
timing__setup__ws__corner:nom_tt_025C_1v80,8.761815521118164
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.294255
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,Infinity
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,0
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,0
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.2505687672716013
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.25036248782779197
timing__hold__ws__corner:nom_ss_100C_1v60,0.8109680378994624
timing__setup__ws__corner:nom_ss_100C_1v60,5.100331856773677
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.810968
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,Infinity
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,0
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.25061214923751546
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.25036123882685396
timing__hold__ws__corner:nom_ff_n40C_1v95,0.10717738111481716
timing__setup__ws__corner:nom_ff_n40C_1v95,9.97359911777235
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.107177
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,Infinity
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,0
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.25034211523471395
clock__skew__worst_setup,0.2502212119439129
timing__hold__ws,0.10569845298188704
timing__setup__ws,5.075966457496942
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.105698
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,inf
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 111.52
design__core__bbox,2.76 2.72 158.24 108.8
design__io,45
design__die__area,17954.7
design__core__area,16493.3
design__instance__count__stdcell,344
design__instance__area__stdcell,1501.44
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.0910332
design__instance__utilization__stdcell,0.0910332
design__rows,39
design__rows:unithd,39
design__sites,13182
design__sites:unithd,13182
design__instance__count__class:buffer,8
design__instance__area__class:buffer,40.0384
design__instance__count__class:inverter,4
design__instance__area__class:inverter,15.0144
design__instance__count__class:sequential_cell,15
design__instance__area__class:sequential_cell,319.056
design__instance__count__class:multi_input_combinational_cell,76
design__instance__area__class:multi_input_combinational_cell,643.117
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,4146
design__instance__area__class:fill_cell,14991.9
design__instance__count__class:tap_cell,225
design__instance__area__class:tap_cell,281.52
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,33.319
design__instance__displacement__mean,0.078
design__instance__displacement__max,4.14
route__wirelength__estimated,1891.17
design__violations,0
design__instance__count__class:timing_repair_buffer,12
design__instance__area__class:timing_repair_buffer,120.115
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,4
design__instance__area__class:clock_buffer,82.5792
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,3
global_route__vias,764
global_route__wirelength,3450
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,137
route__net__special,2
route__drc_errors__iter:0,36
route__wirelength__iter:0,1972
route__drc_errors__iter:1,1
route__wirelength__iter:1,1951
route__drc_errors__iter:2,5
route__wirelength__iter:2,1952
route__drc_errors__iter:3,0
route__wirelength__iter:3,1952
route__drc_errors,0
route__wirelength,1952
route__vias,816
route__vias__singlecut,816
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,9
design__critical_disconnected_pin__count,0
route__wirelength__max,91.7
timing__unannotated_net__count__corner:nom_tt_025C_1v80,19
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,19
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,19
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,0
