Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,0
design__inferred_latch__count,0
design__instance__count,2366
design__instance__area,16493.3
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,53
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,1
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0003707351570483297
power__switching__total,0.00014542322605848312
power__leakage__total,1.7023337406385508E-8
power__total,0.00051617540884763
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.2637594939336857
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.2639759874296105
timing__hold__ws__corner:nom_tt_025C_1v80,0.3408924350400163
timing__setup__ws__corner:nom_tt_025C_1v80,8.314392965004991
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.340892
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,14.448302
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,280
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,1
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.274955205275247
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.2751657035666693
timing__hold__ws__corner:nom_ss_100C_1v60,0.9169728569336594
timing__setup__ws__corner:nom_ss_100C_1v60,0.46927263403417646
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.916973
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,8.312224
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,1
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.2617011958989693
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.2617697799282552
timing__hold__ws__corner:nom_ff_n40C_1v95,0.11927048575256304
timing__setup__ws__corner:nom_ff_n40C_1v95,11.21667501739442
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.119270
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,18.112076
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,311
design__max_fanout_violation__count,1
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2597560851048145
clock__skew__worst_setup,0.2598051569638908
timing__hold__ws,0.11599721511648627
timing__setup__ws,0.27285730003300696
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.115997
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,8.056939
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 111.52
design__core__bbox,2.76 2.72 158.24 108.8
design__io,45
design__die__area,17954.7
design__core__area,16493.3
design__instance__count__stdcell,1650
design__instance__area__stdcell,14719.1
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.892429
design__instance__utilization__stdcell,0.892429
design__rows,39
design__rows:unithd,39
design__sites,13182
design__sites:unithd,13182
design__instance__count__class:buffer,5
design__instance__area__class:buffer,25.024
design__instance__count__class:inverter,41
design__instance__area__class:inverter,153.898
design__instance__count__class:sequential_cell,98
design__instance__area__class:sequential_cell,2084.5
design__instance__count__class:multi_input_combinational_cell,1162
design__instance__area__class:multi_input_combinational_cell,11019.3
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,716
design__instance__area__class:fill_cell,1774.2
design__instance__count__class:tap_cell,225
design__instance__area__class:tap_cell,281.52
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
flow__warnings__count:GPL-0302,1
flow__warnings__count:GPL-1015,1
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,3341.45
design__instance__displacement__mean,1.939
design__instance__displacement__max,132.22
route__wirelength__estimated,41054.7
design__violations,0
design__instance__count__class:timing_repair_buffer,83
design__instance__area__class:timing_repair_buffer,792.01
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,31
design__instance__area__class:clock_buffer,350.336
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,14
global_route__vias,4095
global_route__wirelength,70890
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,5
design__instance__count__class:antenna_cell,5
design__instance__area__class:antenna_cell,12.512
route__net,1425
route__net__special,2
route__drc_errors__iter:0,1642
route__wirelength__iter:0,48449
route__drc_errors__iter:1,1066
route__wirelength__iter:1,47999
route__drc_errors__iter:2,990
route__wirelength__iter:2,47872
route__drc_errors__iter:3,221
route__wirelength__iter:3,47594
route__drc_errors__iter:4,13
route__wirelength__iter:4,47636
route__drc_errors__iter:5,3
route__wirelength__iter:5,47639
route__drc_errors__iter:6,2
route__wirelength__iter:6,47643
route__drc_errors__iter:7,2
route__wirelength__iter:7,47643
route__drc_errors__iter:8,0
route__wirelength__iter:8,47641
route__drc_errors,0
route__wirelength,47641
route__vias,12034
route__vias__singlecut,12034
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,17
design__critical_disconnected_pin__count,0
route__wirelength__max,352.71
timing__unannotated_net__count__corner:nom_tt_025C_1v80,47
