Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,60
design__inferred_latch__count,0
design__instance__count,6221
design__instance__area,34255.4
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,14
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0006628414266742766
power__switching__total,0.0002046264271484688
power__leakage__total,3.435341966451233E-8
power__total,0.0008675021817907691
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.27438993520627225
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.2728154168682184
timing__hold__ws__corner:nom_tt_025C_1v80,0.3184515519197477
timing__setup__ws__corner:nom_tt_025C_1v80,13.396644173177478
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.318452
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,14.958371
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,160
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,14
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.28874545238758464
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.2868831642334093
timing__hold__ws__corner:nom_ss_100C_1v60,0.8506556810835422
timing__setup__ws__corner:nom_ss_100C_1v60,9.710385659293195
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.850656
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,9.710385
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,14
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.26770522667479646
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.266237428528003
timing__hold__ws__corner:nom_ff_n40C_1v95,0.10908430023584469
timing__setup__ws__corner:nom_ff_n40C_1v95,14.199525512870316
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.109084
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,16.636942
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,259
design__max_fanout_violation__count,14
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2652974859331963
clock__skew__worst_setup,0.2643501048439143
timing__hold__ws,0.1078162589724064
timing__setup__ws,9.653912609236235
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.107816
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,9.653913
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 225.76
design__core__bbox,2.76 2.72 158.24 223.04
design__io,45
design__die__area,36347.4
design__core__area,34255.4
design__instance__count__stdcell,2362
design__instance__area__stdcell,21703.3
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.633574
design__instance__utilization__stdcell,0.633574
design__rows,81
design__rows:unithd,81
design__sites,27378
design__sites:unithd,27378
design__instance__count__class:buffer,8
design__instance__area__class:buffer,38.7872
design__instance__count__class:inverter,54
design__instance__area__class:inverter,202.694
design__instance__count__class:sequential_cell,255
design__instance__area__class:sequential_cell,6479.96
design__instance__count__class:multi_input_combinational_cell,1301
design__instance__area__class:multi_input_combinational_cell,11476
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,3859
design__instance__area__class:fill_cell,12552
design__instance__count__class:tap_cell,456
design__instance__area__class:tap_cell,570.547
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
flow__warnings__count:GPL-0302,1
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,1100.28
design__instance__displacement__mean,0.435
design__instance__displacement__max,25.26
route__wirelength__estimated,39367.6
design__violations,0
design__instance__count__class:timing_repair_buffer,254
design__instance__area__class:timing_repair_buffer,2453.6
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,31
design__instance__area__class:clock_buffer,457.939
design__instance__count__class:clock_inverter,3
design__instance__area__class:clock_inverter,23.7728
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,129
global_route__vias,13652
global_route__wirelength,72739
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,1915
route__net__special,2
route__drc_errors__iter:0,494
route__wirelength__iter:0,43764
route__drc_errors__iter:1,132
route__wirelength__iter:1,43502
route__drc_errors__iter:2,98
route__wirelength__iter:2,43353
route__drc_errors__iter:3,0
route__wirelength__iter:3,43361
route__drc_errors,0
route__wirelength,43361
route__vias,13906
route__vias__singlecut,13906
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,13
design__critical_disconnected_pin__count,0
route__wirelength__max,267.5
timing__unannotated_net__count__corner:nom_tt_025C_1v80,37
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,37
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,37
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
