Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,7
design__inferred_latch__count,0
design__instance__count,7522
design__instance__area,34255.4
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,407
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,4
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0002121915022144094
power__switching__total,0.0001743181055644527
power__leakage__total,3.2885910883351244E-8
power__total,0.00038654249510727823
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.25616787194332
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.25560723705560406
timing__hold__ws__corner:nom_tt_025C_1v80,0.35330095404797873
timing__setup__ws__corner:nom_tt_025C_1v80,8.539153625894132
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.353301
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,8.539154
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,1350
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,4
design__max_cap_violation__count__corner:nom_ss_100C_1v60,10
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.2595902732913972
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.25905736622450554
timing__hold__ws__corner:nom_ss_100C_1v60,0.9042957749684447
timing__setup__ws__corner:nom_ss_100C_1v60,-2.0431461545370544
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,-5.1126002656319685
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,-2.0431461545370544
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.904296
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,5
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,-2.043146
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,5
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,77
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,4
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.25520489222010084
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.2546310456780182
timing__hold__ws__corner:nom_ff_n40C_1v95,0.1434530312919699
timing__setup__ws__corner:nom_ff_n40C_1v95,12.521751989714005
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.143453
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,12.564046
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,1468
design__max_fanout_violation__count,4
design__max_cap_violation__count,18
clock__skew__worst_hold,-0.25439501225630745
clock__skew__worst_setup,0.25401984013010037
timing__hold__ws,0.13553081263109654
timing__setup__ws,-2.8577727659841865
timing__hold__tns,0.0
timing__setup__tns,-9.372153096650802
timing__hold__wns,0
timing__setup__wns,-2.8577727659841865
timing__hold_vio__count,0
timing__hold_r2r__ws,0.135531
timing__hold_r2r_vio__count,0
timing__setup_vio__count,14
timing__setup_r2r__ws,-2.857773
timing__setup_r2r_vio__count,14
design__die__bbox,0.0 0.0 161.0 225.76
design__core__bbox,2.76 2.72 158.24 223.04
design__io,45
design__die__area,36347.4
design__core__area,34255.4
design__instance__count__stdcell,2272
design__instance__area__stdcell,16402
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.478815
design__instance__utilization__stdcell,0.478815
design__rows,81
design__rows:unithd,81
design__sites,27378
design__sites:unithd,27378
design__instance__count__class:buffer,2
design__instance__area__class:buffer,10.0096
design__instance__count__class:inverter,40
design__instance__area__class:inverter,150.144
design__instance__count__class:sequential_cell,34
design__instance__area__class:sequential_cell,723.194
design__instance__count__class:multi_input_combinational_cell,1490
design__instance__area__class:multi_input_combinational_cell,12736
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,5250
design__instance__area__class:fill_cell,17853.4
design__instance__count__class:tap_cell,456
design__instance__area__class:tap_cell,570.547
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,81021.6
design__violations,0
design__instance__count__class:timing_repair_buffer,220
design__instance__area__class:timing_repair_buffer,2014.43
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,7
design__instance__area__class:clock_buffer,140.134
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,0
global_route__vias,47
global_route__wirelength,145845
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,5
design__instance__count__class:antenna_cell,23
design__instance__area__class:antenna_cell,57.5552
route__net,1810
route__net__special,2
route__drc_errors__iter:0,54
route__wirelength__iter:0,100957
route__drc_errors__iter:1,21
route__wirelength__iter:1,100943
route__drc_errors__iter:2,13
route__wirelength__iter:2,100945
route__drc_errors__iter:3,8
route__wirelength__iter:3,100948
route__drc_errors__iter:4,8
route__wirelength__iter:4,100948
route__drc_errors__iter:5,0
route__wirelength__iter:5,100958
route__drc_errors__iter:6,13
route__wirelength__iter:6,100933
route__drc_errors__iter:7,0
route__wirelength__iter:7,100936
route__drc_errors__iter:8,0
route__wirelength__iter:8,101159
route__drc_errors,0
route__wirelength,100958
route__vias,18118
route__vias__singlecut,18118
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,9
design__critical_disconnected_pin__count,0
route__wirelength__max,426.57
timing__unannotated_net__count__corner:nom_tt_025C_1v80,27
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
