Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,6
design__inferred_latch__count,0
design__instance__count,48466
design__instance__area,302420
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,929
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,214
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.008639086969196796
power__switching__total,0.0030296538025140762
power__leakage__total,3.248647999498644E-7
power__total,0.011669065803289413
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.34418754931472034
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.3468737339987714
timing__hold__ws__corner:nom_tt_025C_1v80,0.3134698145339078
timing__setup__ws__corner:nom_tt_025C_1v80,11.21598046185057
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.313470
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,11.215981
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,3708
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,214
design__max_cap_violation__count__corner:nom_ss_100C_1v60,58
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.40033419379320917
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.4070026375569142
timing__hold__ws__corner:nom_ss_100C_1v60,0.8718701563049734
timing__setup__ws__corner:nom_ss_100C_1v60,2.231001224687053
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.871870
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,2.231001
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,498
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,214
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.3184079479092224
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.3203330746883687
timing__hold__ws__corner:nom_ff_n40C_1v95,0.10657020012547741
timing__setup__ws__corner:nom_ff_n40C_1v95,13.449973071539777
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.106570
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,14.450125
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,4398
design__max_fanout_violation__count,214
design__max_cap_violation__count,69
clock__skew__worst_hold,-0.30863276696784425
clock__skew__worst_setup,0.31028200331756856
timing__hold__ws,0.10518497481847576
timing__setup__ws,1.7496955490824617
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.105185
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,1.749696
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 1378.16 225.76
design__core__bbox,2.76 2.72 1375.4 223.04
design__io,45
design__die__area,311133
design__core__area,302420
design__instance__count__stdcell,20199
design__instance__area__stdcell,210289
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.695355
design__instance__utilization__stdcell,0.695355
design__rows,81
design__rows:unithd,81
design__sites,241704
design__sites:unithd,241704
design__instance__count__class:buffer,8
design__instance__area__class:buffer,40.0384
design__instance__count__class:inverter,149
design__instance__area__class:inverter,559.286
design__instance__count__class:sequential_cell,2864
design__instance__area__class:sequential_cell,75252.2
design__instance__count__class:multi_input_combinational_cell,7771
design__instance__area__class:multi_input_combinational_cell,81648.3
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,28267
design__instance__area__class:fill_cell,92130.9
design__instance__count__class:tap_cell,4399
design__instance__area__class:tap_cell,5504.03
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
flow__warnings__count:GRT-0281,2
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,20272.6
design__instance__displacement__mean,1.002
design__instance__displacement__max,46.8
route__wirelength__estimated,589201
design__violations,0
design__instance__count__class:timing_repair_buffer,4452
design__instance__area__class:timing_repair_buffer,41821.4
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,380
design__instance__area__class:clock_buffer,4853.4
design__instance__count__class:clock_inverter,27
design__instance__area__class:clock_inverter,237.728
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,2398
global_route__vias,23
global_route__wirelength,947501
antenna__violating__nets,1
antenna__violating__pins,1
route__antenna_violation__count,1
antenna_diodes_count,28
design__instance__count__class:antenna_cell,149
design__instance__area__class:antenna_cell,372.858
route__net,15509
route__net__special,2
route__drc_errors__iter:0,119
route__wirelength__iter:0,677306
route__drc_errors__iter:1,23
route__wirelength__iter:1,677286
route__drc_errors__iter:2,8
route__wirelength__iter:2,677271
route__drc_errors__iter:3,0
route__wirelength__iter:3,677268
route__drc_errors__iter:4,0
route__wirelength__iter:4,677441
route__drc_errors__iter:5,0
route__wirelength__iter:5,677122
route__drc_errors,0
route__wirelength,677268
route__vias,121146
route__vias__singlecut,121146
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,16
design__critical_disconnected_pin__count,0
route__wirelength__max,1024.94
timing__unannotated_net__count__corner:nom_tt_025C_1v80,193
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,193
