Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,18
design__inferred_latch__count,0
design__instance__count,1847
design__instance__area,13807
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,1
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.00041255459655076265
power__switching__total,0.00013755857071373612
power__leakage__total,1.316643682969243E-8
power__total,0.00055012630764395
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.2593249299810074
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.2592802990141552
timing__hold__ws__corner:nom_tt_025C_1v80,0.3326676805963763
timing__setup__ws__corner:nom_tt_025C_1v80,10.970539454052252
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.332668
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,14.890566
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,13
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,1
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.2668988161580531
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.26609434853165786
timing__hold__ws__corner:nom_ss_100C_1v60,0.9107080902731248
timing__setup__ws__corner:nom_ss_100C_1v60,6.387816678636722
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.910708
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,9.778818
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,1
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.257195549915129
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.2571494479027276
timing__hold__ws__corner:nom_ff_n40C_1v95,0.11472323415969826
timing__setup__ws__corner:nom_ff_n40C_1v95,12.776706276834785
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.114723
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,16.738243
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,13
design__max_fanout_violation__count,1
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.25672784069720234
clock__skew__worst_setup,0.256667611096413
timing__hold__ws,0.11187567855445406
timing__setup__ws,6.2799003330558145
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.111876
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,9.621774
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 111.52
design__core__bbox,2.76 2.72 158.24 108.8
design__io,45
design__die__area,17954.7
design__core__area,16493.3
design__instance__count__stdcell,1847
design__instance__area__stdcell,13807
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.837126
design__instance__utilization__stdcell,0.837126
design__instance__count__class:buffer,6
design__instance__count__class:inverter,58
design__instance__count__class:sequential_cell,120
design__instance__count__class:multi_input_combinational_cell,1249
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,788
design__instance__count__class:tap_cell,225
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,29713.8
design__violations,0
design__instance__count__class:timing_repair_buffer,157
design__instance__count__class:clock_buffer,28
design__instance__count__class:clock_inverter,4
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,48
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,1626
route__net__special,2
route__drc_errors__iter:1,1311
route__wirelength__iter:1,34523
route__drc_errors__iter:2,646
route__wirelength__iter:2,34148
route__drc_errors__iter:3,665
route__wirelength__iter:3,34182
route__drc_errors__iter:4,103
route__wirelength__iter:4,33960
route__drc_errors__iter:5,21
route__wirelength__iter:5,33944
route__drc_errors__iter:6,5
route__wirelength__iter:6,33962
route__drc_errors__iter:7,0
route__wirelength__iter:7,33953
route__drc_errors,0
route__wirelength,33953
route__vias,12101
route__vias__singlecut,12101
route__vias__multicut,0
design__disconnected_pin__count,16
design__critical_disconnected_pin__count,0
route__wirelength__max,336.3
timing__unannotated_net__count__corner:nom_tt_025C_1v80,48
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,48
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,48
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,1
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.25866551299688173
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.25849920158308926
timing__hold__ws__corner:min_tt_025C_1v80,0.3279689945786698
timing__setup__ws__corner:min_tt_025C_1v80,11.025831226777603
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
