Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,18
design__inferred_latch__count,0
design__instance__count,2290
design__instance__area,16493.3
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,110
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,0
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0005038902745582163
power__switching__total,0.000509578560013324
power__leakage__total,1.7822415543378156E-8
power__total,0.0010134866461157799
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.25370026242342375
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.25449595928767643
timing__hold__ws__corner:nom_tt_025C_1v80,0.3725365121831992
timing__setup__ws__corner:nom_tt_025C_1v80,8.686981158071449
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.372537
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,8.686981
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,536
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,0
design__max_cap_violation__count__corner:nom_ss_100C_1v60,1
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.2556203376876652
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.2563183349229877
timing__hold__ws__corner:nom_ss_100C_1v60,1.0467551566252726
timing__setup__ws__corner:nom_ss_100C_1v60,-1.6785702192213139
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,-7.062045370597452
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,-1.6785702192213139
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,1.046755
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,9
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,-1.678570
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,9
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,0
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.25265026896818865
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.2540300264266394
timing__hold__ws__corner:nom_ff_n40C_1v95,0.12246282112785561
timing__setup__ws__corner:nom_ff_n40C_1v95,12.88013643309091
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.122463
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,12.880136
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,594
design__max_fanout_violation__count,0
design__max_cap_violation__count,1
clock__skew__worst_hold,-0.25233091330612323
clock__skew__worst_setup,0.2532496228849834
timing__hold__ws,0.11823709013201551
timing__setup__ws,-2.018502755407092
timing__hold__tns,0.0
timing__setup__tns,-10.269959395812172
timing__hold__wns,0
timing__setup__wns,-2.018502755407092
timing__hold_vio__count,0
timing__hold_r2r__ws,0.118237
timing__hold_r2r_vio__count,0
timing__setup_vio__count,24
timing__setup_r2r__ws,-2.018503
timing__setup_r2r_vio__count,24
design__die__bbox,0.0 0.0 161.0 111.52
design__core__bbox,2.76 2.72 158.24 108.8
design__io,45
design__die__area,17954.7
design__core__area,16493.3
design__instance__count__stdcell,1658
design__instance__area__stdcell,14961.8
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.907146
design__instance__utilization__stdcell,0.907146
design__rows,39
design__rows:unithd,39
design__sites,13182
design__sites:unithd,13182
design__instance__count__class:buffer,1
design__instance__area__class:buffer,5.0048
design__instance__count__class:inverter,44
design__instance__area__class:inverter,165.158
design__instance__count__class:sequential_cell,84
design__instance__area__class:sequential_cell,1824.25
design__instance__count__class:multi_input_combinational_cell,1142
design__instance__area__class:multi_input_combinational_cell,11185.7
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,632
design__instance__area__class:fill_cell,1531.47
design__instance__count__class:tap_cell,225
design__instance__area__class:tap_cell,281.52
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
flow__warnings__count:GPL-0302,1
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,7153.13
design__instance__displacement__mean,4.144
design__instance__displacement__max,168.48
route__wirelength__estimated,51752
design__violations,0
design__instance__count__class:timing_repair_buffer,141
design__instance__area__class:timing_repair_buffer,1234.93
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,11
design__instance__area__class:clock_buffer,240.23
design__instance__count__setup_buffer,11
design__instance__count__hold_buffer,12
global_route__vias,35
global_route__wirelength,90155
flow__warnings__count:GRT-0115,1
flow__warnings__count:GRT-0273,1
flow__warnings__count:GRT-0704,1
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,3
design__instance__count__class:antenna_cell,10
design__instance__area__class:antenna_cell,25.024
route__net,1440
route__net__special,2
route__drc_errors__iter:0,345
route__wirelength__iter:0,60845
route__drc_errors__iter:1,145
route__wirelength__iter:1,60854
route__drc_errors__iter:2,65
route__wirelength__iter:2,60774
route__drc_errors__iter:3,21
route__wirelength__iter:3,60760
route__drc_errors__iter:4,0
route__wirelength__iter:4,60771
route__drc_errors__iter:5,1002
route__wirelength__iter:5,60738
route__drc_errors__iter:6,667
route__wirelength__iter:6,60598
route__drc_errors__iter:7,594
route__wirelength__iter:7,60590
route__drc_errors__iter:8,550
route__wirelength__iter:8,60564
route__drc_errors__iter:9,377
route__wirelength__iter:9,60557
route__drc_errors__iter:10,238
route__wirelength__iter:10,60560
route__drc_errors__iter:11,196
route__wirelength__iter:11,60632
