Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,0
design__inferred_latch__count,0
design__instance__count,2859
design__instance__area,16493.3
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,0
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.004691458772867918
power__switching__total,0.004851547069847584
power__leakage__total,1.6602964336698278E-8
power__total,0.009543022140860558
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.2586310405709922
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.25838490411947157
timing__hold__ws__corner:nom_tt_025C_1v80,0.32879622177771356
timing__setup__ws__corner:nom_tt_025C_1v80,8.114417811796987
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.328796
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,Infinity
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,105
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,0
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.26575312147538876
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.2658765782792187
timing__hold__ws__corner:nom_ss_100C_1v60,0.9178558173301156
timing__setup__ws__corner:nom_ss_100C_1v60,-0.2036699755384554
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,-0.2036699755384554
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,-0.2036699755384554
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.917856
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,1
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,7.344836
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,0
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.2572053753891748
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.25695715726942414
timing__hold__ws__corner:nom_ff_n40C_1v95,0.11540502213840285
timing__setup__ws__corner:nom_ff_n40C_1v95,11.168586371856556
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.115405
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,Infinity
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,122
design__max_fanout_violation__count,0
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2561347872962505
clock__skew__worst_setup,0.25596542276905393
timing__hold__ws,0.11359097317601177
timing__setup__ws,-0.29642955595851717
timing__hold__tns,0.0
timing__setup__tns,-0.3553371031327275
timing__hold__wns,0
timing__setup__wns,-0.29642955595851717
timing__hold_vio__count,0
timing__hold_r2r__ws,0.113591
timing__hold_r2r_vio__count,0
timing__setup_vio__count,4
timing__setup_r2r__ws,7.269336
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 111.52
design__core__bbox,2.76 2.72 158.24 108.8
design__io,45
design__die__area,17954.7
design__core__area,16493.3
design__instance__count__stdcell,1416
design__instance__area__stdcell,12082.8
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.73259
design__instance__utilization__stdcell,0.73259
design__rows,39
design__rows:unithd,39
design__sites,13182
design__sites:unithd,13182
design__instance__count__class:buffer,8
design__instance__area__class:buffer,40.0384
design__instance__count__class:inverter,23
design__instance__area__class:inverter,86.3328
design__instance__count__class:sequential_cell,72
design__instance__area__class:sequential_cell,1531.47
design__instance__count__class:multi_input_combinational_cell,1004
design__instance__area__class:multi_input_combinational_cell,9216.34
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,1443
design__instance__area__class:fill_cell,4410.48
design__instance__count__class:tap_cell,225
design__instance__area__class:tap_cell,281.52
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
flow__warnings__count:GPL-0302,1
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,112.515
design__instance__displacement__mean,0.075
design__instance__displacement__max,8.7
route__wirelength__estimated,21288.3
design__violations,0
design__instance__count__class:timing_repair_buffer,75
design__instance__area__class:timing_repair_buffer,701.923
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,9
design__instance__area__class:clock_buffer,225.216
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,13
global_route__vias,7414
global_route__wirelength,38446
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,1210
route__net__special,2
route__drc_errors__iter:0,326
route__wirelength__iter:0,23568
route__drc_errors__iter:1,103
route__wirelength__iter:1,23348
route__drc_errors__iter:2,63
route__wirelength__iter:2,23304
route__drc_errors__iter:3,0
route__wirelength__iter:3,23292
route__drc_errors,0
route__wirelength,23292
route__vias,8089
route__vias__singlecut,8089
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,1
design__critical_disconnected_pin__count,0
route__wirelength__max,236.94
timing__unannotated_net__count__corner:nom_tt_025C_1v80,17
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,17
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,17
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
