Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,25
design__inferred_latch__count,0
design__instance__count,2057
design__instance__area,16493.3
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,67
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,17
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0012927670031785965
power__switching__total,0.0006543530034832656
power__leakage__total,1.884062150736554E-8
power__total,0.001947138924151659
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.2626003100408906
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.26609457057626906
timing__hold__ws__corner:nom_tt_025C_1v80,0.35703097044930393
timing__setup__ws__corner:nom_tt_025C_1v80,11.528399006172728
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.357031
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,15.618078
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,348
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,17
design__max_cap_violation__count__corner:nom_ss_100C_1v60,1
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.2677706743239491
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.27478550768113374
timing__hold__ws__corner:nom_ss_100C_1v60,0.936641235527271
timing__setup__ws__corner:nom_ss_100C_1v60,7.432420222979419
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.936641
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,11.187916
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,17
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.25966823870550654
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.2620695956645346
timing__hold__ws__corner:nom_ff_n40C_1v95,0.13831564063367535
timing__setup__ws__corner:nom_ff_n40C_1v95,13.02644606830603
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.138316
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,17.167486
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,363
design__max_fanout_violation__count,17
design__max_cap_violation__count,2
clock__skew__worst_hold,-0.258869294438815
clock__skew__worst_setup,0.2607928113945301
timing__hold__ws,0.1313126311520374
timing__setup__ws,7.135939152671102
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.131313
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,11.036846
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 111.52
design__core__bbox,2.76 2.72 158.24 108.8
design__io,45
design__die__area,17954.7
design__core__area,16493.3
design__instance__count__stdcell,1416
design__instance__area__stdcell,14766.7
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.895312
design__instance__utilization__stdcell,0.895312
design__rows,39
design__rows:unithd,39
design__sites,13182
design__sites:unithd,13182
design__instance__count__class:buffer,3
design__instance__area__class:buffer,15.0144
design__instance__count__class:inverter,27
design__instance__area__class:inverter,101.347
design__instance__count__class:sequential_cell,229
design__instance__area__class:sequential_cell,5346.38
design__instance__count__class:multi_input_combinational_cell,533
design__instance__area__class:multi_input_combinational_cell,5124.92
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,641
design__instance__area__class:fill_cell,1726.66
design__instance__count__class:tap_cell,225
design__instance__area__class:tap_cell,281.52
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
flow__warnings__count:GPL-0302,1
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,9157.95
design__instance__displacement__mean,6.212
design__instance__displacement__max,131.02
route__wirelength__estimated,36201.5
design__violations,0
design__instance__count__class:timing_repair_buffer,342
design__instance__area__class:timing_repair_buffer,3343.21
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,35
design__instance__area__class:clock_buffer,494.224
design__instance__count__class:clock_inverter,2
design__instance__area__class:clock_inverter,10.0096
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,241
global_route__vias,28
global_route__wirelength,62389
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,2
design__instance__count__class:antenna_cell,20
design__instance__area__class:antenna_cell,50.048
route__net,1178
route__net__special,2
route__drc_errors__iter:0,135
route__wirelength__iter:0,44113
route__drc_errors__iter:1,35
route__wirelength__iter:1,44094
route__drc_errors__iter:2,28
route__wirelength__iter:2,44055
route__drc_errors__iter:3,6
route__wirelength__iter:3,44064
route__drc_errors__iter:4,6
route__wirelength__iter:4,44064
route__drc_errors__iter:5,0
route__wirelength__iter:5,44073
route__drc_errors__iter:6,0
route__wirelength__iter:6,44074
route__drc_errors,0
route__wirelength,44073
route__vias,9230
route__vias__singlecut,9230
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,6
design__critical_disconnected_pin__count,0
route__wirelength__max,345.995
timing__unannotated_net__count__corner:nom_tt_025C_1v80,31
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
