Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,2
design__inferred_latch__count,0
design__instance__count,4646
design__instance__area,34255.4
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,430
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,4
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.00014668366929981858
power__switching__total,0.00008661551692057401
power__leakage__total,1.9625499447784023E-8
power__total,0.00023331881675403565
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.2568975382913156
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.25688010778933607
timing__hold__ws__corner:nom_tt_025C_1v80,0.3242700644229133
timing__setup__ws__corner:nom_tt_025C_1v80,28.957212558532348
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.324270
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,32.869217
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,948
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,4
design__max_cap_violation__count__corner:nom_ss_100C_1v60,15
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.25993921639790574
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.2599160682471876
timing__hold__ws__corner:nom_ss_100C_1v60,0.903489197918243
timing__setup__ws__corner:nom_ss_100C_1v60,21.300606326117588
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.903489
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,21.300606
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,112
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,4
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.25528807568257345
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.2552706451805939
timing__hold__ws__corner:nom_ff_n40C_1v95,0.11149215199975042
timing__setup__ws__corner:nom_ff_n40C_1v95,29.89886822751446
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.111492
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,35.193970
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,1088
design__max_fanout_violation__count,4
design__max_cap_violation__count,22
clock__skew__worst_hold,-0.25461905526901313
clock__skew__worst_setup,0.25461322659796903
timing__hold__ws,0.10972967289831168
timing__setup__ws,20.78743813698354
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.109730
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,20.787437
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 225.76
design__core__bbox,2.76 2.72 158.24 223.04
design__io,45
design__die__area,36347.4
design__core__area,34255.4
design__instance__count__stdcell,1998
design__instance__area__stdcell,14739.1
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.430272
design__instance__utilization__stdcell,0.430272
design__rows,81
design__rows:unithd,81
design__sites,27378
design__sites:unithd,27378
design__instance__count__class:buffer,2
design__instance__area__class:buffer,10.0096
design__instance__count__class:inverter,25
design__instance__area__class:inverter,93.84
design__instance__count__class:sequential_cell,43
design__instance__area__class:sequential_cell,989.699
design__instance__count__class:multi_input_combinational_cell,1156
design__instance__area__class:multi_input_combinational_cell,10353.7
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,2648
design__instance__area__class:fill_cell,19516.2
design__instance__count__class:tap_cell,456
design__instance__area__class:tap_cell,570.547
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,78.319
design__instance__displacement__mean,0.036
design__instance__displacement__max,5.6
route__wirelength__estimated,80510.7
design__violations,0
design__instance__count__class:timing_repair_buffer,267
design__instance__area__class:timing_repair_buffer,2361.01
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,16
design__instance__area__class:clock_buffer,277.766
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,15
global_route__vias,99
global_route__wirelength,141850
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,4
design__instance__count__class:antenna_cell,33
design__instance__area__class:antenna_cell,82.5792
route__net,1521
route__net__special,2
route__drc_errors__iter:0,212
route__wirelength__iter:0,101519
route__drc_errors__iter:1,51
route__wirelength__iter:1,101500
route__drc_errors__iter:2,44
route__wirelength__iter:2,101442
route__drc_errors__iter:3,0
route__wirelength__iter:3,101402
route__drc_errors__iter:4,48
route__wirelength__iter:4,101527
route__drc_errors__iter:5,12
route__wirelength__iter:5,101501
route__drc_errors__iter:6,2
route__wirelength__iter:6,101502
route__drc_errors__iter:7,2
route__wirelength__iter:7,101502
route__drc_errors__iter:8,0
route__wirelength__iter:8,101503
route__drc_errors,0
route__wirelength,101402
route__vias,15822
route__vias__singlecut,15822
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,17
design__critical_disconnected_pin__count,0
route__wirelength__max,465.385
timing__unannotated_net__count__corner:nom_tt_025C_1v80,40
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
