Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,3937
design__inferred_latch__count,0
design__instance__count,6107
design__instance__area,34255.4
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,31
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.001253365189768374
power__switching__total,0.0003384567971806973
power__leakage__total,3.8382385270097075E-8
power__total,0.0015918604331091046
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.26614669554874937
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.2624166236362714
timing__hold__ws__corner:nom_tt_025C_1v80,0.3175513830659232
timing__setup__ws__corner:nom_tt_025C_1v80,12.428753489292287
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.317551
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,14.740192
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,211
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,31
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.2724014146906269
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.2705587774845432
timing__hold__ws__corner:nom_ss_100C_1v60,0.8894191190846344
timing__setup__ws__corner:nom_ss_100C_1v60,9.541237403547985
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.889419
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,10.217937
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,31
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.2622667157681317
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.2594971255769968
timing__hold__ws__corner:nom_ff_n40C_1v95,0.11037182591391619
timing__setup__ws__corner:nom_ff_n40C_1v95,13.59250706018597
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.110372
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,16.502562
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,319
design__max_fanout_violation__count,31
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.26048439142956653
clock__skew__worst_setup,0.25864322526903205
timing__hold__ws,0.1079253383876608
timing__setup__ws,9.408431633407899
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.107925
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,9.862391
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 225.76
design__core__bbox,2.76 2.72 158.24 223.04
design__io,45
design__die__area,36347.4
design__core__area,34255.4
design__instance__count__stdcell,2254
design__instance__area__stdcell,21365.5
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.623712
design__instance__utilization__stdcell,0.623712
design__rows,81
design__rows:unithd,81
design__sites,27378
design__sites:unithd,27378
design__instance__count__class:buffer,13
design__instance__area__class:buffer,55.0528
design__instance__count__class:inverter,47
design__instance__area__class:inverter,176.419
design__instance__count__class:sequential_cell,389
design__instance__area__class:sequential_cell,7968.89
design__instance__count__class:multi_input_combinational_cell,759
design__instance__area__class:multi_input_combinational_cell,6560.04
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,3853
design__instance__area__class:fill_cell,12889.9
design__instance__count__class:tap_cell,456
design__instance__area__class:tap_cell,570.547
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,2862.12
design__instance__displacement__mean,1.185
design__instance__displacement__max,16.94
route__wirelength__estimated,41298.5
design__violations,0
design__instance__count__class:timing_repair_buffer,521
design__instance__area__class:timing_repair_buffer,5079.87
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,67
design__instance__area__class:clock_buffer,922.134
design__instance__count__class:clock_inverter,1
design__instance__area__class:clock_inverter,30.0288
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,345
global_route__vias,5603
global_route__wirelength,73153
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,1
design__instance__count__class:antenna_cell,1
design__instance__area__class:antenna_cell,2.5024
route__net,1787
route__net__special,2
route__drc_errors__iter:0,882
route__wirelength__iter:0,49158
route__drc_errors__iter:1,318
route__wirelength__iter:1,48368
route__drc_errors__iter:2,312
route__wirelength__iter:2,48201
route__drc_errors__iter:3,23
route__wirelength__iter:3,48158
route__drc_errors__iter:4,0
route__wirelength__iter:4,48162
route__drc_errors,0
route__wirelength,48162
route__vias,12579
route__vias__singlecut,12579
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,16
design__critical_disconnected_pin__count,0
route__wirelength__max,286.1
timing__unannotated_net__count__corner:nom_tt_025C_1v80,61
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,61
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,61
