Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,32
design__inferred_latch__count,0
design__instance__count,6129
design__instance__area,34255.4
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,227
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,3
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0018905486213043332
power__switching__total,0.002028332557529211
power__leakage__total,3.25757518737646E-8
power__total,0.003918913658708334
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.27557643058624554
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.27540462356832573
timing__hold__ws__corner:nom_tt_025C_1v80,0.3262698537025772
timing__setup__ws__corner:nom_tt_025C_1v80,8.906011291634613
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.326270
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,8.906012
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,1132
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,3
design__max_cap_violation__count__corner:nom_ss_100C_1v60,5
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.2868708407574874
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.28672751096095467
timing__hold__ws__corner:nom_ss_100C_1v60,0.870461394269184
timing__setup__ws__corner:nom_ss_100C_1v60,-1.5091679444408856
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,-3.1006700307165413
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,-1.5091679444408856
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.870461
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,4
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,-1.509168
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,4
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,22
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,3
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.26962702278477474
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.27062042261972896
timing__hold__ws__corner:nom_ff_n40C_1v95,0.11848017347013205
timing__setup__ws__corner:nom_ff_n40C_1v95,12.927182357134555
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.118480
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,12.927182
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,1249
design__max_fanout_violation__count,3
design__max_cap_violation__count,11
clock__skew__worst_hold,-0.26628744407667687
clock__skew__worst_setup,0.26712158241424444
timing__hold__ws,0.11509216128121517
timing__setup__ws,-2.2959270690033606
timing__hold__tns,0.0
timing__setup__tns,-6.2118472124352975
timing__hold__wns,0
timing__setup__wns,-2.2959270690033606
timing__hold_vio__count,0
timing__hold_r2r__ws,0.115092
timing__hold_r2r_vio__count,0
timing__setup_vio__count,10
timing__setup_r2r__ws,-2.295927
timing__setup_r2r_vio__count,10
design__die__bbox,0.0 0.0 161.0 225.76
design__core__bbox,2.76 2.72 158.24 223.04
design__io,45
design__die__area,36347.4
design__core__area,34255.4
design__instance__count__stdcell,2772
design__instance__area__stdcell,23567.6
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.687998
design__instance__utilization__stdcell,0.687998
design__rows,81
design__rows:unithd,81
design__sites,27378
design__sites:unithd,27378
design__instance__count__class:buffer,3
design__instance__area__class:buffer,15.0144
design__instance__count__class:inverter,45
design__instance__area__class:inverter,168.912
design__instance__count__class:sequential_cell,143
design__instance__area__class:sequential_cell,3507.11
design__instance__count__class:multi_input_combinational_cell,1808
design__instance__area__class:multi_input_combinational_cell,16420.7
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,3357
design__instance__area__class:fill_cell,10687.8
design__instance__count__class:tap_cell,456
design__instance__area__class:tap_cell,570.547
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
flow__warnings__count:GPL-0302,1
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,6464.22
design__instance__displacement__mean,2.225
design__instance__displacement__max,123.92
route__wirelength__estimated,80762.2
design__violations,0
design__instance__count__class:timing_repair_buffer,256
design__instance__area__class:timing_repair_buffer,2454.85
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,32
design__instance__area__class:clock_buffer,357.843
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,64
global_route__vias,131
global_route__wirelength,156229
flow__warnings__count:GRT-0115,1
flow__warnings__count:GRT-0704,1
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,6
design__instance__count__class:antenna_cell,29
design__instance__area__class:antenna_cell,72.5696
route__net,2291
route__net__special,2
route__drc_errors__iter:0,317
route__wirelength__iter:0,101403
route__drc_errors__iter:1,70
route__wirelength__iter:1,101345
route__drc_errors__iter:2,77
route__wirelength__iter:2,101335
route__drc_errors__iter:3,13
route__wirelength__iter:3,101308
route__drc_errors__iter:4,9
route__wirelength__iter:4,101316
route__drc_errors__iter:5,9
route__wirelength__iter:5,101316
route__drc_errors__iter:6,0
route__wirelength__iter:6,101306
route__drc_errors__iter:7,518
route__wirelength__iter:7,101343
route__drc_errors__iter:8,512
route__wirelength__iter:8,101352
route__drc_errors__iter:9,512
route__wirelength__iter:9,101352
route__drc_errors__iter:10,280
route__wirelength__iter:10,101486
route__drc_errors__iter:11,221
route__wirelength__iter:11,101453
route__drc_errors__iter:12,126
