Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,484
design__inferred_latch__count,0
design__instance__count,6167
design__instance__area,34255.4
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,19
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0011143425945192575
power__switching__total,0.00031220243545249104
power__leakage__total,3.8027167192922207E-8
power__total,0.001426583039574325
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.2687024290237176
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.2717979529485248
timing__hold__ws__corner:nom_tt_025C_1v80,0.2961259654638473
timing__setup__ws__corner:nom_tt_025C_1v80,11.925132330261604
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.296126
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,13.799334
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,182
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,19
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.27841138515980385
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.28452871419849834
timing__hold__ws__corner:nom_ss_100C_1v60,0.8026177727393389
timing__setup__ws__corner:nom_ss_100C_1v60,7.322291424892467
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.802618
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,7.322291
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,19
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.26432284886788887
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.2663178364328356
timing__hold__ws__corner:nom_ff_n40C_1v95,0.10570511432022318
timing__setup__ws__corner:nom_ff_n40C_1v95,13.361620632562909
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.105705
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,16.077608
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,204
design__max_fanout_violation__count,19
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2627141911708623
clock__skew__worst_setup,0.2652472760954876
timing__hold__ws,0.10450318683977117
timing__setup__ws,7.22347713201407
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.104503
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,7.223477
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 225.76
design__core__bbox,2.76 2.72 158.24 223.04
design__io,45
design__die__area,36347.4
design__core__area,34255.4
design__instance__count__stdcell,2389
design__instance__area__stdcell,22004.9
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.642377
design__instance__utilization__stdcell,0.642377
design__rows,81
design__rows:unithd,81
design__sites,27378
design__sites:unithd,27378
design__instance__count__class:buffer,7
design__instance__area__class:buffer,35.0336
design__instance__count__class:inverter,63
design__instance__area__class:inverter,236.477
design__instance__count__class:sequential_cell,354
design__instance__area__class:sequential_cell,7529.72
design__instance__count__class:multi_input_combinational_cell,1216
design__instance__area__class:multi_input_combinational_cell,10512.6
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,3778
design__instance__area__class:fill_cell,12250.5
design__instance__count__class:tap_cell,456
design__instance__area__class:tap_cell,570.547
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
flow__warnings__count:GPL-0302,1
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,1020.85
design__instance__displacement__mean,0.4
design__instance__displacement__max,9.12
route__wirelength__estimated,32954.6
design__violations,0
design__instance__count__class:timing_repair_buffer,241
design__instance__area__class:timing_repair_buffer,2376.03
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,51
design__instance__area__class:clock_buffer,714.435
design__instance__count__class:clock_inverter,1
design__instance__area__class:clock_inverter,30.0288
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,171
global_route__vias,12729
global_route__wirelength,60989
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,1938
route__net__special,2
route__drc_errors__iter:0,355
route__wirelength__iter:0,36175
route__drc_errors__iter:1,66
route__wirelength__iter:1,35890
route__drc_errors__iter:2,34
route__wirelength__iter:2,35875
route__drc_errors__iter:3,0
route__wirelength__iter:3,35895
route__drc_errors,0
route__wirelength,35895
route__vias,12921
route__vias__singlecut,12921
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,12
design__critical_disconnected_pin__count,0
route__wirelength__max,267.08
timing__unannotated_net__count__corner:nom_tt_025C_1v80,43
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,43
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,43
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
