Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,5
design__inferred_latch__count,0
design__instance__count,4363
design__instance__area,34255.4
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,13
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,41
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.00014353703591041267
power__switching__total,0.000048214355047093704
power__leakage__total,3.668991155336698E-8
power__total,0.00019178807269781828
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.3166201002109535
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.3166201002109535
timing__hold__ws__corner:nom_tt_025C_1v80,0.34215742319005055
timing__setup__ws__corner:nom_tt_025C_1v80,156.0706168477015
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.342157
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,194.335236
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,528
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,41
design__max_cap_violation__count__corner:nom_ss_100C_1v60,1
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.3532798320543379
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.3532798320543379
timing__hold__ws__corner:nom_ss_100C_1v60,0.9030554337702542
timing__setup__ws__corner:nom_ss_100C_1v60,152.96349864147555
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.903055
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,188.381470
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,41
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.299743710558632
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.299743710558632
timing__hold__ws__corner:nom_ff_n40C_1v95,0.12064066753715556
timing__setup__ws__corner:nom_ff_n40C_1v95,157.338964088614
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.120641
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,196.540375
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,685
design__max_fanout_violation__count,41
design__max_cap_violation__count,1
clock__skew__worst_hold,-0.29434047698957244
clock__skew__worst_setup,0.29434047698957244
timing__hold__ws,0.11798246047411631
timing__setup__ws,152.52600325584012
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.117982
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,188.136230
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 225.76
design__core__bbox,2.76 2.72 158.24 223.04
design__io,45
design__die__area,36347.4
design__core__area,34255.4
design__instance__count__stdcell,2746
design__instance__area__stdcell,29793.6
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.869749
design__instance__utilization__stdcell,0.869749
design__rows,81
design__rows:unithd,81
design__sites,27378
design__sites:unithd,27378
design__instance__count__class:buffer,2
design__instance__area__class:buffer,10.0096
design__instance__count__class:inverter,47
design__instance__area__class:inverter,176.419
design__instance__count__class:sequential_cell,451
design__instance__area__class:sequential_cell,11850.1
design__instance__count__class:multi_input_combinational_cell,1138
design__instance__area__class:multi_input_combinational_cell,11116.9
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,1617
design__instance__area__class:fill_cell,4461.78
design__instance__count__class:tap_cell,456
design__instance__area__class:tap_cell,570.547
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
flow__warnings__count:GPL-0302,1
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,24894.7
design__instance__displacement__mean,8.784
design__instance__displacement__max,184.771
route__wirelength__estimated,91862.5
design__violations,0
design__instance__count__class:timing_repair_buffer,500
design__instance__area__class:timing_repair_buffer,4884.68
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,74
design__instance__area__class:clock_buffer,968.429
design__instance__count__class:clock_inverter,4
design__instance__area__class:clock_inverter,31.28
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,330
global_route__vias,114
global_route__wirelength,175197
antenna__violating__nets,0
antenna__violating__pins,0
flow__warnings__count:GRT-0115,1
flow__warnings__count:GRT-0273,2
flow__warnings__count:GRT-0704,1
route__antenna_violation__count,0
antenna_diodes_count,14
design__instance__count__class:antenna_cell,74
design__instance__area__class:antenna_cell,185.178
flow__warnings__count:GRT-0243,1
route__net,2202
route__net__special,2
route__drc_errors__iter:0,696
route__wirelength__iter:0,119846
route__drc_errors__iter:1,227
route__wirelength__iter:1,119759
route__drc_errors__iter:2,216
route__wirelength__iter:2,119738
route__drc_errors__iter:3,98
route__wirelength__iter:3,119873
route__drc_errors__iter:4,84
route__wirelength__iter:4,119861
route__drc_errors__iter:5,84
route__wirelength__iter:5,119861
route__drc_errors__iter:6,44
route__wirelength__iter:6,119869
route__drc_errors__iter:7,44
route__wirelength__iter:7,119872
route__drc_errors__iter:8,44
route__wirelength__iter:8,119872
route__drc_errors__iter:9,44
route__wirelength__iter:9,119872
route__drc_errors__iter:10,42
route__wirelength__iter:10,119899
