Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,28
design__inferred_latch__count,0
design__instance__count,2624
design__instance__area,18348.8
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,3
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0005066593294031918
power__switching__total,0.0002625389606691897
power__leakage__total,1.9796244643544014E-8
power__total,0.0007692180806770921
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.26515182466824594
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.26491551369077115
timing__hold__ws__corner:nom_tt_025C_1v80,0.3280922293378885
timing__setup__ws__corner:nom_tt_025C_1v80,6.196736632553583
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.328092
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,16.274685
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,0
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,3
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.27088862475448805
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.27066014084955825
timing__hold__ws__corner:nom_ss_100C_1v60,0.8776621899882527
timing__setup__ws__corner:nom_ss_100C_1v60,-2.7838976356578775
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,-14.038678172870389
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,-2.7838976356578775
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.877662
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,6
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,12.763654
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,3
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.26282313180823474
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.2625807701151046
timing__hold__ws__corner:nom_ff_n40C_1v95,0.11243012394863264
timing__setup__ws__corner:nom_ff_n40C_1v95,9.80925501923517
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.112430
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,17.502798
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,17
design__max_fanout_violation__count,3
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2610280121489489
clock__skew__worst_setup,0.26087338583282105
timing__hold__ws,0.11091017307378243
timing__setup__ws,-2.952802530509207
timing__hold__tns,0.0
timing__setup__tns,-15.095525257074923
timing__hold__wns,0
timing__setup__wns,-2.952802530509207
timing__hold_vio__count,0
timing__hold_r2r__ws,0.110910
timing__hold_r2r_vio__count,0
timing__setup_vio__count,18
timing__setup_r2r__ws,12.709115
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 225.76
design__core__bbox,2.76 2.72 158.24 223.04
design__io,45
design__die__area,36347.4
design__core__area,34255.4
design__instance__count__stdcell,2624
design__instance__area__stdcell,18348.8
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.535649
design__instance__utilization__stdcell,0.535649
design__instance__count__class:buffer,3
design__instance__count__class:inverter,64
design__instance__count__class:sequential_cell,115
design__instance__count__class:multi_input_combinational_cell,1820
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,2430
design__instance__count__class:tap_cell,456
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,41177.6
design__violations,0
design__instance__count__class:timing_repair_buffer,134
design__instance__count__class:clock_buffer,17
design__instance__count__class:clock_inverter,15
design__instance__count__setup_buffer,17
design__instance__count__hold_buffer,49
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,2172
route__net__special,2
route__drc_errors__iter:1,750
route__wirelength__iter:1,45772
route__drc_errors__iter:2,216
route__wirelength__iter:2,45240
route__drc_errors__iter:3,402
route__wirelength__iter:3,45218
route__drc_errors__iter:4,49
route__wirelength__iter:4,45226
route__drc_errors__iter:5,0
route__wirelength__iter:5,45233
route__drc_errors,0
route__wirelength,45233
route__vias,14665
route__vias__singlecut,14665
route__vias__multicut,0
design__disconnected_pin__count,15
design__critical_disconnected_pin__count,0
route__wirelength__max,351.29
timing__unannotated_net__count__corner:nom_tt_025C_1v80,46
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,46
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,46
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,3
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.2630906400535838
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.2629402048294925
timing__hold__ws__corner:min_tt_025C_1v80,0.3259304585143506
timing__setup__ws__corner:min_tt_025C_1v80,6.270625085556564
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
