Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,560
design__inferred_latch__count,0
design__instance__count,78545
design__instance__area,302420
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,15
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0008331291028298438
power__switching__total,0.00035326246870681643
power__leakage__total,3.335409815008461E-7
power__total,0.0011867251014336944
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.3235968529173165
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.334556530837167
timing__hold__ws__corner:nom_tt_025C_1v80,0.31502645828075965
timing__setup__ws__corner:nom_tt_025C_1v80,2.0995330512848667
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.315026
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,2.099533
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,418
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,15
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.3679437692006139
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.37723389368881494
timing__hold__ws__corner:nom_ss_100C_1v60,0.8904285338871718
timing__setup__ws__corner:nom_ss_100C_1v60,-13.629917136281767
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,-195.6739110571444
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,-13.629917136281767
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.890429
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,15
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,-13.629917
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,15
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,15
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.3020752344874361
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.3132737213866375
timing__hold__ws__corner:nom_ff_n40C_1v95,0.09642686921872161
timing__setup__ws__corner:nom_ff_n40C_1v95,8.72538865856078
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.096427
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,8.809278
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,486
design__max_fanout_violation__count,15
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.29929190528598293
clock__skew__worst_setup,0.3050325356417683
timing__hold__ws,0.09642686921872161
timing__setup__ws,-14.008380629760707
timing__hold__tns,0.0
timing__setup__tns,-201.14413814993983
timing__hold__wns,0
timing__setup__wns,-14.008380629760707
timing__hold_vio__count,0
timing__hold_r2r__ws,0.096427
timing__hold_r2r_vio__count,0
timing__setup_vio__count,45
timing__setup_r2r__ws,-14.008381
timing__setup_r2r_vio__count,45
design__die__bbox,0.0 0.0 1378.16 225.76
design__core__bbox,2.76 2.72 1375.4 223.04
design__io,45
design__die__area,311133
design__core__area,302420
design__instance__count__stdcell,13725
design__instance__area__stdcell,73813.3
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.244075
design__instance__utilization__stdcell,0.244075
design__rows,81
design__rows:unithd,81
design__sites,241704
design__sites:unithd,241704
design__instance__count__class:buffer,5571
design__instance__area__class:buffer,27870.5
design__instance__count__class:inverter,131
design__instance__area__class:inverter,499.229
design__instance__count__class:sequential_cell,243
design__instance__area__class:sequential_cell,6384.87
design__instance__count__class:multi_input_combinational_cell,1993
design__instance__area__class:multi_input_combinational_cell,20554.7
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,64820
design__instance__area__class:fill_cell,228607
design__instance__count__class:tap_cell,4399
design__instance__area__class:tap_cell,5504.03
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
flow__warnings__count:GRT-0281,1
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,1455.47
design__instance__displacement__mean,0.104
design__instance__displacement__max,8.743
route__wirelength__estimated,134902
design__violations,0
design__instance__count__class:timing_repair_buffer,1337
design__instance__area__class:timing_repair_buffer,12380.6
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,40
design__instance__area__class:clock_buffer,563.04
design__instance__count__class:clock_inverter,3
design__instance__area__class:clock_inverter,36.2848
design__instance__count__setup_buffer,201
design__instance__count__hold_buffer,184
flow__warnings__count:RSZ-0062,1
global_route__vias,107
global_route__wirelength,231087
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,8
route__net,9321
route__net__special,2
route__drc_errors__iter:0,45
route__wirelength__iter:0,153052
route__drc_errors__iter:1,1
route__wirelength__iter:1,153007
route__drc_errors__iter:2,0
route__wirelength__iter:2,153007
route__drc_errors__iter:3,2
route__wirelength__iter:3,153041
route__drc_errors__iter:4,0
route__wirelength__iter:4,153042
route__drc_errors,0
route__wirelength,153007
route__vias,33795
route__vias__singlecut,33795
route__vias__multicut,0
design__instance__count__class:antenna_cell,8
design__instance__area__class:antenna_cell,20.0192
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,643.51
timing__unannotated_net__count__corner:nom_tt_025C_1v80,5587
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,5587
