Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,4
design__inferred_latch__count,0
design__instance__count,3059
design__instance__area,28190.8
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,25
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.00592393521219492
power__switching__total,0.006534653715789318
power__leakage__total,2.9455904382302833E-8
power__total,0.012458618730306625
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.3018056723294334
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.3244604399214451
timing__hold__ws__corner:nom_tt_025C_1v80,0.26231995096366806
timing__setup__ws__corner:nom_tt_025C_1v80,7.854258798989564
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.321599
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,7.854259
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,0
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,25
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.3354392136778592
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.3700506394940314
timing__hold__ws__corner:nom_ss_100C_1v60,0.8762414375434583
timing__setup__ws__corner:nom_ss_100C_1v60,6.0042781335240845
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.876241
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,6.004278
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,25
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.28864197959876314
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.30600853273031936
timing__hold__ws__corner:nom_ff_n40C_1v95,0.06721562385820498
timing__setup__ws__corner:nom_ff_n40C_1v95,8.51438499360345
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.113846
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,8.514385
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,25
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2846380711695167
clock__skew__worst_setup,0.30014744317295533
timing__hold__ws,0.0596435140380489
timing__setup__ws,5.9471425023472895
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.110995
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,5.947143
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 225.76
design__core__bbox,2.76 2.72 158.24 223.04
design__io,45
design__die__area,36347.4
design__core__area,34255.4
design__instance__count__stdcell,3059
design__instance__area__stdcell,28190.8
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.82296
design__instance__utilization__stdcell,0.82296
design__instance__count__class:buffer,5
design__instance__count__class:inverter,118
design__instance__count__class:sequential_cell,381
design__instance__count__class:multi_input_combinational_cell,1555
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,1403
design__instance__count__class:tap_cell,456
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,63239
design__violations,0
design__instance__count__class:timing_repair_buffer,447
design__instance__count__class:clock_buffer,37
design__instance__count__class:clock_inverter,51
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,311
antenna__violating__nets,3
antenna__violating__pins,3
route__antenna_violation__count,3
antenna_diodes_count,9
design__instance__count__class:antenna_cell,9
route__net,2588
route__net__special,2
route__drc_errors__iter:1,1551
route__wirelength__iter:1,71628
route__drc_errors__iter:2,696
route__wirelength__iter:2,70774
route__drc_errors__iter:3,821
route__wirelength__iter:3,70842
route__drc_errors__iter:4,185
route__wirelength__iter:4,70759
route__drc_errors__iter:5,118
route__wirelength__iter:5,70759
route__drc_errors__iter:6,33
route__wirelength__iter:6,70793
route__drc_errors__iter:7,32
route__wirelength__iter:7,70779
route__drc_errors__iter:8,0
route__wirelength__iter:8,70747
route__drc_errors,0
route__wirelength,70747
route__vias,18683
route__vias__singlecut,18683
route__vias__multicut,0
design__disconnected_pin__count,2
design__critical_disconnected_pin__count,0
route__wirelength__max,441.38
timing__unannotated_net__count__corner:nom_tt_025C_1v80,44
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,44
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,44
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,25
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.2951372285657284
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.3162740991955435
timing__hold__ws__corner:min_tt_025C_1v80,0.2766816853940942
timing__setup__ws__corner:min_tt_025C_1v80,7.889864096485489
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
