Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,4
design__inferred_latch__count,0
design__instance__count,3278
design__instance__area,16493.3
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,0
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.00012739132216665894
power__switching__total,0.00004990192610421218
power__leakage__total,1.62314837126587E-8
power__total,0.00017730947001837194
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.2550261185525045
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.25506078526742887
timing__hold__ws__corner:nom_tt_025C_1v80,0.3575007058243079
timing__setup__ws__corner:nom_tt_025C_1v80,10.004470424157388
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.357501
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,16.409595
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,250
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,0
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.2578912989487631
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.2579244946181382
timing__hold__ws__corner:nom_ss_100C_1v60,0.9174269381635733
timing__setup__ws__corner:nom_ss_100C_1v60,4.85062848061867
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.917427
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,11.440982
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,0
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.25344482785380895
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.2534801051914141
timing__hold__ws__corner:nom_ff_n40C_1v95,0.13434170822694158
timing__setup__ws__corner:nom_ff_n40C_1v95,12.063684614939673
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.134342
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,17.708197
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,283
design__max_fanout_violation__count,0
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2533000825228798
clock__skew__worst_setup,0.25332339720705627
timing__hold__ws,0.12889101262223696
timing__setup__ws,4.697479871378438
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.128891
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,11.340789
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 111.52
design__core__bbox,2.76 2.72 158.24 108.8
design__io,45
design__die__area,17954.7
design__core__area,16493.3
design__instance__count__stdcell,1140
design__instance__area__stdcell,9356.47
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.567289
design__instance__utilization__stdcell,0.567289
design__rows,39
design__rows:unithd,39
design__sites,13182
design__sites:unithd,13182
design__instance__count__class:buffer,5
design__instance__area__class:buffer,25.024
design__instance__count__class:inverter,63
design__instance__area__class:inverter,236.477
design__instance__count__class:sequential_cell,64
design__instance__area__class:sequential_cell,1571.51
design__instance__count__class:multi_input_combinational_cell,703
design__instance__area__class:multi_input_combinational_cell,6401.14
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,2138
design__instance__area__class:fill_cell,7136.84
design__instance__count__class:tap_cell,225
design__instance__area__class:tap_cell,281.52
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,52.525
design__instance__displacement__mean,0.043
design__instance__displacement__max,7.029
route__wirelength__estimated,20535.8
design__violations,0
design__instance__count__class:timing_repair_buffer,71
design__instance__area__class:timing_repair_buffer,695.667
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,7
design__instance__area__class:clock_buffer,140.134
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,5
global_route__vias,15
global_route__wirelength,36963
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,2
route__net,930
route__net__special,2
route__drc_errors__iter:0,0
route__wirelength__iter:0,22811
route__drc_errors__iter:1,230
route__wirelength__iter:1,22992
route__drc_errors__iter:2,148
route__wirelength__iter:2,22888
route__drc_errors__iter:3,1
route__wirelength__iter:3,22813
route__drc_errors__iter:4,0
route__wirelength__iter:4,22813
route__drc_errors,0
route__wirelength,22811
route__vias,6870
route__vias__singlecut,6870
route__vias__multicut,0
design__instance__count__class:antenna_cell,2
design__instance__area__class:antenna_cell,5.0048
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,13
design__critical_disconnected_pin__count,0
route__wirelength__max,214.7
timing__unannotated_net__count__corner:nom_tt_025C_1v80,31
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,31
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,31
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
