Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,82
design__inferred_latch__count,0
design__instance__count,6011
design__instance__area,34255.4
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,358
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,5
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0029823624063283205
power__switching__total,0.003555422881618142
power__leakage__total,3.451827623734971E-8
power__total,0.006537819746881723
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.2722700197919464
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.2711690670984398
timing__hold__ws__corner:nom_tt_025C_1v80,0.3395184784970333
timing__setup__ws__corner:nom_tt_025C_1v80,9.495513977208676
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.339518
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,9.495514
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,1237
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,5
design__max_cap_violation__count__corner:nom_ss_100C_1v60,11
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.28839639825877056
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.28644395999244604
timing__hold__ws__corner:nom_ss_100C_1v60,0.9240231064063312
timing__setup__ws__corner:nom_ss_100C_1v60,-0.39733195636068436
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,-0.39733195636068436
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,-0.39733195636068436
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.924023
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,1
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,-0.397332
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,1
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,68
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,5
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.26602612532486514
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.26539957094319777
timing__hold__ws__corner:nom_ff_n40C_1v95,0.11816492563337393
timing__setup__ws__corner:nom_ff_n40C_1v95,12.985458409434498
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.118165
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,13.433177
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,1382
design__max_fanout_violation__count,5
design__max_cap_violation__count,18
clock__skew__worst_hold,-0.2640669702090517
clock__skew__worst_setup,0.2639951387773269
timing__hold__ws,0.11640083670850394
timing__setup__ws,-1.058952067118757
timing__hold__tns,0.0
timing__setup__tns,-2.1224285152354243
timing__hold__wns,0
timing__setup__wns,-1.058952067118757
timing__hold_vio__count,0
timing__hold_r2r__ws,0.116401
timing__hold_r2r_vio__count,0
timing__setup_vio__count,4
timing__setup_r2r__ws,-1.058952
timing__setup_r2r_vio__count,4
design__die__bbox,0.0 0.0 161.0 225.76
design__core__bbox,2.76 2.72 158.24 223.04
design__io,45
design__die__area,36347.4
design__core__area,34255.4
design__instance__count__stdcell,2485
design__instance__area__stdcell,22836.9
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.666667
design__instance__utilization__stdcell,0.666667
design__rows,81
design__rows:unithd,81
design__sites,27378
design__sites:unithd,27378
design__instance__count__class:buffer,2
design__instance__area__class:buffer,10.0096
design__instance__count__class:inverter,26
design__instance__area__class:inverter,97.5936
design__instance__count__class:sequential_cell,170
design__instance__area__class:sequential_cell,4466.78
design__instance__count__class:multi_input_combinational_cell,1356
design__instance__area__class:multi_input_combinational_cell,12807.3
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,3526
design__instance__area__class:fill_cell,11418.5
design__instance__count__class:tap_cell,456
design__instance__area__class:tap_cell,570.547
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,3642.71
design__instance__displacement__mean,1.388
design__instance__displacement__max,68.209
route__wirelength__estimated,79155.7
design__violations,0
design__instance__count__class:timing_repair_buffer,392
design__instance__area__class:timing_repair_buffer,3703.55
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,59
design__instance__area__class:clock_buffer,1121.08
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,151
global_route__vias,119
global_route__wirelength,143195
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,5
design__instance__count__class:antenna_cell,24
design__instance__area__class:antenna_cell,60.0576
route__net,2014
route__net__special,2
route__drc_errors__iter:0,302
route__wirelength__iter:0,97758
route__drc_errors__iter:1,84
route__wirelength__iter:1,97682
route__drc_errors__iter:2,42
route__wirelength__iter:2,97701
route__drc_errors__iter:3,2
route__wirelength__iter:3,97701
route__drc_errors__iter:4,2
route__wirelength__iter:4,97701
route__drc_errors__iter:5,0
route__wirelength__iter:5,97698
route__drc_errors__iter:6,8
route__wirelength__iter:6,97765
route__drc_errors__iter:7,0
route__wirelength__iter:7,97730
route__drc_errors,0
route__wirelength,97698
route__vias,18996
route__vias__singlecut,18996
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,8
design__critical_disconnected_pin__count,0
route__wirelength__max,457.01
timing__unannotated_net__count__corner:nom_tt_025C_1v80,34
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
