Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,4
design__inferred_latch__count,0
design__instance__count,4709
design__instance__area,34255.4
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,8
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,20
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0015609842957928777
power__switching__total,0.00076854950748384
power__leakage__total,3.650262314636166E-8
power__total,0.002329570474103093
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.27340250282024414
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.2749347771710162
timing__hold__ws__corner:nom_tt_025C_1v80,0.31697773081287534
timing__setup__ws__corner:nom_tt_025C_1v80,11.814267232243898
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.316978
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,11.877040
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,550
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,20
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.28754474615249426
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.2893033394732369
timing__hold__ws__corner:nom_ss_100C_1v60,0.903400935185289
timing__setup__ws__corner:nom_ss_100C_1v60,4.803510614120993
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.903401
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,4.803511
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,20
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.2661832773984454
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.2677257658013329
timing__hold__ws__corner:nom_ff_n40C_1v95,0.11101531119718794
timing__setup__ws__corner:nom_ff_n40C_1v95,13.477496833366288
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.111015
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,14.668079
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,682
design__max_fanout_violation__count,20
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2642774962560503
clock__skew__worst_setup,0.2658428552538919
timing__hold__ws,0.10854589756482565
timing__setup__ws,4.354456474204689
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.108546
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,4.354456
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 225.76
design__core__bbox,2.76 2.72 158.24 223.04
design__io,45
design__die__area,36347.4
design__core__area,34255.4
design__instance__count__stdcell,2900
design__instance__area__stdcell,29229.3
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.853276
design__instance__utilization__stdcell,0.853276
design__rows,81
design__rows:unithd,81
design__sites,27378
design__sites:unithd,27378
design__instance__count__class:buffer,5
design__instance__area__class:buffer,25.024
design__instance__count__class:inverter,78
design__instance__area__class:inverter,292.781
design__instance__count__class:sequential_cell,351
design__instance__area__class:sequential_cell,9187.56
design__instance__count__class:multi_input_combinational_cell,1559
design__instance__area__class:multi_input_combinational_cell,14626.5
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,1809
design__instance__area__class:fill_cell,5026.07
design__instance__count__class:tap_cell,456
design__instance__area__class:tap_cell,570.547
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
flow__warnings__count:GPL-0302,1
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,6670.17
design__instance__displacement__mean,2.183
design__instance__displacement__max,82.52
route__wirelength__estimated,60097.1
design__violations,0
design__instance__count__class:timing_repair_buffer,381
design__instance__area__class:timing_repair_buffer,3671.02
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,55
design__instance__area__class:clock_buffer,744.464
design__instance__count__class:clock_inverter,8
design__instance__area__class:clock_inverter,93.84
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,189
global_route__vias,14
global_route__wirelength,110289
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,7
design__instance__count__class:antenna_cell,7
design__instance__area__class:antenna_cell,17.5168
flow__warnings__count:GRT-0243,1
route__net,2431
route__net__special,2
route__drc_errors__iter:0,1613
route__wirelength__iter:0,73518
route__drc_errors__iter:1,751
route__wirelength__iter:1,72511
route__drc_errors__iter:2,690
route__wirelength__iter:2,72245
route__drc_errors__iter:3,61
route__wirelength__iter:3,72206
route__drc_errors__iter:4,1
route__wirelength__iter:4,72190
route__drc_errors__iter:5,1
route__wirelength__iter:5,72190
route__drc_errors__iter:6,0
route__wirelength__iter:6,72184
route__drc_errors,0
route__wirelength,72184
route__vias,19249
route__vias__singlecut,19249
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,9
design__critical_disconnected_pin__count,0
route__wirelength__max,334.55
timing__unannotated_net__count__corner:nom_tt_025C_1v80,51
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
