Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,9
design__inferred_latch__count,0
design__instance__count,1967
design__instance__area,16493.3
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,67
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,18
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.00014833625755272806
power__switching__total,0.000054567368351854384
power__leakage__total,1.679573990998051E-8
power__total,0.00020292041881475598
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.28008543499483024
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.2772452068617558
timing__hold__ws__corner:nom_tt_025C_1v80,0.3325557146011762
timing__setup__ws__corner:nom_tt_025C_1v80,75.62865037177484
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.332556
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,93.333862
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,463
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,18
design__max_cap_violation__count__corner:nom_ss_100C_1v60,1
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.29516265267371133
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.29176548114458223
timing__hold__ws__corner:nom_ss_100C_1v60,0.9221532687353748
timing__setup__ws__corner:nom_ss_100C_1v60,71.82795006527556
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.922153
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,86.322067
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,18
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.27268979512942926
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.270068586249732
timing__hold__ws__corner:nom_ff_n40C_1v95,0.12354034811488011
timing__setup__ws__corner:nom_ff_n40C_1v95,77.09933176784482
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.123540
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,95.854469
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,554
design__max_fanout_violation__count,18
design__max_cap_violation__count,2
clock__skew__worst_hold,-0.2694766430718362
clock__skew__worst_setup,0.2667286189635646
timing__hold__ws,0.11987822185343079
timing__setup__ws,71.68739049731221
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.119878
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,86.011223
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 111.52
design__core__bbox,2.76 2.72 158.24 108.8
design__io,45
design__die__area,17954.7
design__core__area,16493.3
design__instance__count__stdcell,1400
design__instance__area__stdcell,14994.4
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.909118
design__instance__utilization__stdcell,0.909118
design__rows,39
design__rows:unithd,39
design__sites,13182
design__sites:unithd,13182
design__instance__count__class:inverter,10
design__instance__area__class:inverter,37.536
design__instance__count__class:sequential_cell,223
design__instance__area__class:sequential_cell,5859.37
design__instance__count__class:multi_input_combinational_cell,649
design__instance__area__class:multi_input_combinational_cell,6048.3
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,567
design__instance__area__class:fill_cell,1498.94
design__instance__count__class:tap_cell,225
design__instance__area__class:tap_cell,281.52
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
flow__warnings__count:GPL-0302,1
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,8194
design__instance__displacement__mean,5.647
design__instance__displacement__max,152.34
route__wirelength__estimated,41206.6
design__violations,0
design__instance__count__class:timing_repair_buffer,229
design__instance__area__class:timing_repair_buffer,2213.37
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,35
design__instance__area__class:clock_buffer,475.456
design__instance__count__class:clock_inverter,2
design__instance__area__class:clock_inverter,11.2608
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,103
global_route__vias,148
global_route__wirelength,75713
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,8
design__instance__count__class:antenna_cell,27
design__instance__area__class:antenna_cell,67.5648
route__net,1155
route__net__special,2
route__drc_errors__iter:0,584
route__wirelength__iter:0,50604
route__drc_errors__iter:1,163
route__wirelength__iter:1,50483
route__drc_errors__iter:2,139
route__wirelength__iter:2,50379
route__drc_errors__iter:3,117
route__wirelength__iter:3,50361
route__drc_errors__iter:4,58
route__wirelength__iter:4,50405
route__drc_errors__iter:5,6
route__wirelength__iter:5,50406
route__drc_errors__iter:6,6
route__wirelength__iter:6,50406
route__drc_errors__iter:7,0
route__wirelength__iter:7,50461
route__drc_errors__iter:8,13
route__wirelength__iter:8,50419
route__drc_errors__iter:9,0
route__wirelength__iter:9,50410
route__drc_errors,0
route__wirelength,50461
route__vias,10682
route__vias__singlecut,10682
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,16
design__critical_disconnected_pin__count,0
route__wirelength__max,341.8
timing__unannotated_net__count__corner:nom_tt_025C_1v80,36
