Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,0
design__inferred_latch__count,0
design__instance__count,2970
design__instance__area,16493.3
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,1
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.000846007838845253
power__switching__total,0.00021328017464838922
power__leakage__total,1.9315562482802306E-8
power__total,0.001059307367540896
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.26068672958152694
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.2618355328887482
timing__hold__ws__corner:nom_tt_025C_1v80,0.3382548781258191
timing__setup__ws__corner:nom_tt_025C_1v80,5.260931394987498
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.338255
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,Infinity
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,154
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,1
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.26565048135385927
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.2668973728680803
timing__hold__ws__corner:nom_ss_100C_1v60,0.9175264141493932
timing__setup__ws__corner:nom_ss_100C_1v60,4.83743725435621
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.917526
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,11.098149
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,1
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.2583562603646261
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.2592056365136376
timing__hold__ws__corner:nom_ff_n40C_1v95,0.109808609757595
timing__setup__ws__corner:nom_ff_n40C_1v95,5.423428970537899
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.109809
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,Infinity
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,154
design__max_fanout_violation__count,1
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.25663796814081713
clock__skew__worst_setup,0.257424394642552
timing__hold__ws,0.10807266498719524
timing__setup__ws,4.826391867216435
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.108073
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,10.972845
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 111.52
design__core__bbox,2.76 2.72 158.24 108.8
design__io,45
design__die__area,17954.7
design__core__area,16493.3
design__instance__count__stdcell,978
design__instance__area__stdcell,9774.37
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.592626
design__instance__utilization__stdcell,0.592626
design__rows,39
design__rows:unithd,39
design__sites,13182
design__sites:unithd,13182
design__instance__count__class:buffer,4
design__instance__area__class:buffer,20.0192
design__instance__count__class:inverter,31
design__instance__area__class:inverter,116.362
design__instance__count__class:sequential_cell,151
design__instance__area__class:sequential_cell,3211.83
design__instance__count__class:multi_input_combinational_cell,346
design__instance__area__class:multi_input_combinational_cell,3387
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,1992
design__instance__area__class:fill_cell,6718.94
design__instance__count__class:tap_cell,225
design__instance__area__class:tap_cell,281.52
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,873.383
design__instance__displacement__mean,0.827
design__instance__displacement__max,10.96
route__wirelength__estimated,14989.5
design__violations,0
design__instance__count__class:timing_repair_buffer,160
design__instance__area__class:timing_repair_buffer,1569
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,61
design__instance__area__class:clock_buffer,1188.64
flow__warnings__count:CTS-0041,1
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,128
global_route__vias,4894
global_route__wirelength,26427
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,763
route__net__special,2
route__drc_errors__iter:0,255
route__wirelength__iter:0,16285
route__drc_errors__iter:1,96
route__wirelength__iter:1,16190
route__drc_errors__iter:2,76
route__wirelength__iter:2,16148
route__drc_errors__iter:3,5
route__wirelength__iter:3,16116
route__drc_errors__iter:4,5
route__wirelength__iter:4,16116
route__drc_errors__iter:5,0
route__wirelength__iter:5,16114
route__drc_errors,0
route__wirelength,16114
route__vias,4899
route__vias__singlecut,4899
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,9
design__critical_disconnected_pin__count,0
route__wirelength__max,288.59
timing__unannotated_net__count__corner:nom_tt_025C_1v80,30
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,30
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,30
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
