Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,13
design__inferred_latch__count,0
design__instance__count,2079
design__instance__area,14450.1
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,6
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.00048653731937520206
power__switching__total,0.00021936770644970238
power__leakage__total,1.628269430398177E-8
power__total,0.0007059213239699602
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.2673888686149823
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.27081590514431847
timing__hold__ws__corner:nom_tt_025C_1v80,0.3197951993733013
timing__setup__ws__corner:nom_tt_025C_1v80,4.64173690400312
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.319795
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,15.550438
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,9
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,6
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.2772581964715113
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.2772581964715113
timing__hold__ws__corner:nom_ss_100C_1v60,0.8387847320793068
timing__setup__ws__corner:nom_ss_100C_1v60,-5.412840107118761
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,-32.214701151823114
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,-5.412840107118761
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.838785
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,6
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,10.615317
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,6
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.2627923786295828
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.2670786722931291
timing__hold__ws__corner:nom_ff_n40C_1v95,0.11175638508708423
timing__setup__ws__corner:nom_ff_n40C_1v95,8.828381831022053
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.111756
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,17.188683
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,17
design__max_fanout_violation__count,6
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.26158262407658583
clock__skew__worst_setup,0.26407632383829865
timing__hold__ws,0.10930284764442309
timing__setup__ws,-5.6176096475719035
timing__hold__tns,0.0
timing__setup__tns,-33.44870786134513
timing__hold__wns,0
timing__setup__wns,-5.6176096475719035
timing__hold_vio__count,0
timing__hold_r2r__ws,0.109303
timing__hold_r2r_vio__count,0
timing__setup_vio__count,18
timing__setup_r2r__ws,10.519030
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 225.76
design__core__bbox,2.76 2.72 158.24 223.04
design__io,45
design__die__area,36347.4
design__core__area,34255.4
design__instance__count__stdcell,2079
design__instance__area__stdcell,14450.1
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.421835
design__instance__utilization__stdcell,0.421835
design__instance__count__class:buffer,2
design__instance__count__class:inverter,68
design__instance__count__class:sequential_cell,136
design__instance__count__class:multi_input_combinational_cell,1232
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,2496
design__instance__count__class:tap_cell,456
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,31509.9
design__violations,0
design__instance__count__class:timing_repair_buffer,153
design__instance__count__class:clock_buffer,17
design__instance__count__class:clock_inverter,15
design__instance__count__setup_buffer,19
design__instance__count__hold_buffer,58
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,1627
route__net__special,2
route__drc_errors__iter:1,731
route__wirelength__iter:1,36046
route__drc_errors__iter:2,294
route__wirelength__iter:2,35716
route__drc_errors__iter:3,207
route__wirelength__iter:3,35753
route__drc_errors__iter:4,48
route__wirelength__iter:4,35747
route__drc_errors__iter:5,0
route__wirelength__iter:5,35757
route__drc_errors,0
route__wirelength,35757
route__vias,11843
route__vias__singlecut,11843
route__vias__multicut,0
design__disconnected_pin__count,10
design__critical_disconnected_pin__count,0
route__wirelength__max,346.87
timing__unannotated_net__count__corner:nom_tt_025C_1v80,41
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,41
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,41
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,6
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.2659386952592032
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.2673050467742525
timing__hold__ws__corner:min_tt_025C_1v80,0.3163033813286461
timing__setup__ws__corner:min_tt_025C_1v80,4.7360428030956125
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
