Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,14
design__inferred_latch__count,0
design__instance__count,6569
design__instance__area,34255.4
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,0
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.06262660771608353
power__switching__total,0.0659969225525856
power__leakage__total,3.635686596226151E-8
power__total,0.12862356007099152
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.2614586121612279
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.26152783456877104
timing__hold__ws__corner:nom_tt_025C_1v80,0.3390892107524215
timing__setup__ws__corner:nom_tt_025C_1v80,1.2094601218425396
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.339089
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,Infinity
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,7
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,0
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.2700640620907787
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.2701295097399314
timing__hold__ws__corner:nom_ss_100C_1v60,0.9666495655308603
timing__setup__ws__corner:nom_ss_100C_1v60,-11.274977715047708
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,-44.394999155675364
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,-11.274977715047708
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.966650
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,4
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,Infinity
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,0
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.25913516510515644
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.25920608060286
timing__hold__ws__corner:nom_ff_n40C_1v95,0.114856793993338
timing__setup__ws__corner:nom_ff_n40C_1v95,6.571619878721454
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.114857
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,Infinity
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,10
design__max_fanout_violation__count,0
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.25813141244020477
clock__skew__worst_setup,0.25818267698981673
timing__hold__ws,0.11299822508640034
timing__setup__ws,-11.539455939632287
timing__hold__tns,0.0
timing__setup__tns,-45.45412352941242
timing__hold__wns,0
timing__setup__wns,-11.539455939632287
timing__hold_vio__count,0
timing__hold_r2r__ws,0.112998
timing__hold_r2r_vio__count,0
timing__setup_vio__count,12
timing__setup_r2r__ws,inf
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 225.76
design__core__bbox,2.76 2.72 158.24 223.04
design__io,45
design__die__area,36347.4
design__core__area,34255.4
design__instance__count__stdcell,2498
design__instance__area__stdcell,21018.9
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.613595
design__instance__utilization__stdcell,0.613595
design__rows,81
design__rows:unithd,81
design__sites,27378
design__sites:unithd,27378
design__instance__count__class:buffer,1
design__instance__area__class:buffer,5.0048
design__instance__count__class:inverter,58
design__instance__area__class:inverter,217.709
design__instance__count__class:sequential_cell,64
design__instance__area__class:sequential_cell,1373.82
design__instance__count__class:multi_input_combinational_cell,1748
design__instance__area__class:multi_input_combinational_cell,17485.5
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,4071
design__instance__area__class:fill_cell,13236.4
design__instance__count__class:tap_cell,456
design__instance__area__class:tap_cell,570.547
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
flow__warnings__count:GPL-0302,1
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,1186.55
design__instance__displacement__mean,0.446
design__instance__displacement__max,9.62
route__wirelength__estimated,44411.7
design__violations,0
design__instance__count__class:timing_repair_buffer,161
design__instance__area__class:timing_repair_buffer,1138.59
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,9
design__instance__area__class:clock_buffer,225.216
design__instance__count__setup_buffer,103
design__instance__count__hold_buffer,12
flow__warnings__count:RSZ-0062,1
global_route__vias,3597
global_route__wirelength,71587
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,1
design__instance__count__class:antenna_cell,1
design__instance__area__class:antenna_cell,2.5024
route__net,2060
route__net__special,2
route__drc_errors__iter:0,390
route__wirelength__iter:0,47356
route__drc_errors__iter:1,119
route__wirelength__iter:1,47055
route__drc_errors__iter:2,117
route__wirelength__iter:2,46993
route__drc_errors__iter:3,3
route__wirelength__iter:3,46954
route__drc_errors__iter:4,1
route__wirelength__iter:4,46954
route__drc_errors__iter:5,0
route__wirelength__iter:5,46953
route__drc_errors,0
route__wirelength,46953
route__vias,13345
route__vias__singlecut,13345
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,15
design__critical_disconnected_pin__count,0
route__wirelength__max,326.115
timing__unannotated_net__count__corner:nom_tt_025C_1v80,34
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,34
