Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,456
design__inferred_latch__count,0
design__instance__count,4077
design__instance__area,34255.4
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,400
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,33
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0015345109859481454
power__switching__total,0.00047550053568556905
power__leakage__total,3.932517245175404E-8
power__total,0.002010050928220153
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.2752019523494485
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.2774487662590779
timing__hold__ws__corner:nom_tt_025C_1v80,0.3349161043294369
timing__setup__ws__corner:nom_tt_025C_1v80,10.432663916940216
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.334916
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,10.432664
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,873
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,33
design__max_cap_violation__count__corner:nom_ss_100C_1v60,13
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.28818523383351474
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.2918358692863342
timing__hold__ws__corner:nom_ss_100C_1v60,0.9057940209825496
timing__setup__ws__corner:nom_ss_100C_1v60,0.48205352185512945
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.905794
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,0.482054
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,111
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,33
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.2685496068200558
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.26995098587252264
timing__hold__ws__corner:nom_ff_n40C_1v95,0.1136017423396552
timing__setup__ws__corner:nom_ff_n40C_1v95,13.266575769004326
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.113602
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,14.048635
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,1023
design__max_fanout_violation__count,33
design__max_cap_violation__count,19
clock__skew__worst_hold,-0.2665111262668894
clock__skew__worst_setup,0.2670015673018882
timing__hold__ws,0.111636647530492
timing__setup__ws,0.04149392058507867
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.111637
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,0.041494
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 225.76
design__core__bbox,2.76 2.72 158.24 223.04
design__io,45
design__die__area,36347.4
design__core__area,34255.4
design__instance__count__stdcell,2754
design__instance__area__stdcell,30660.7
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.895062
design__instance__utilization__stdcell,0.895062
design__rows,81
design__rows:unithd,81
design__sites,27378
design__sites:unithd,27378
design__instance__count__class:buffer,3
design__instance__area__class:buffer,15.0144
design__instance__count__class:inverter,11
design__instance__area__class:inverter,41.2896
design__instance__count__class:sequential_cell,466
design__instance__area__class:sequential_cell,11918.9
design__instance__count__class:multi_input_combinational_cell,1058
design__instance__area__class:multi_input_combinational_cell,10659
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,1323
design__instance__area__class:fill_cell,3594.7
design__instance__count__class:tap_cell,456
design__instance__area__class:tap_cell,570.547
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
flow__warnings__count:GPL-0302,1
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,22318.3
design__instance__displacement__mean,7.765
design__instance__displacement__max,163.06
route__wirelength__estimated,83749
design__violations,0
design__instance__count__class:timing_repair_buffer,635
design__instance__area__class:timing_repair_buffer,6210.96
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,79
design__instance__area__class:clock_buffer,1069.78
design__instance__count__class:clock_inverter,4
design__instance__area__class:clock_inverter,70.0672
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,430
global_route__vias,8
global_route__wirelength,153842
flow__warnings__count:GRT-0115,1
flow__warnings__count:GRT-0273,2
flow__warnings__count:GRT-0704,1
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,8
design__instance__count__class:antenna_cell,42
design__instance__area__class:antenna_cell,105.101
route__net,2243
route__net__special,2
route__drc_errors__iter:0,122
route__wirelength__iter:0,107322
route__drc_errors__iter:1,17
route__wirelength__iter:1,107296
route__drc_errors__iter:2,20
route__wirelength__iter:2,107295
route__drc_errors__iter:3,14
route__wirelength__iter:3,107300
route__drc_errors__iter:4,14
route__wirelength__iter:4,107300
route__drc_errors__iter:5,0
route__wirelength__iter:5,107311
route__drc_errors__iter:6,48
route__wirelength__iter:6,107292
route__drc_errors__iter:7,48
route__wirelength__iter:7,107292
route__drc_errors__iter:8,0
route__wirelength__iter:8,107295
route__drc_errors__iter:9,75
route__wirelength__iter:9,107152
route__drc_errors__iter:10,5
route__wirelength__iter:10,107135
route__drc_errors__iter:11,5
