Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,0
design__inferred_latch__count,0
design__instance__count,2887
design__instance__area,16493.3
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,11
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,1
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.00041519757360219955
power__switching__total,0.00018876463582273573
power__leakage__total,1.8596383100089042E-8
power__total,0.0006039807922206819
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.26492006560530085
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.2621091473609054
timing__hold__ws__corner:nom_tt_025C_1v80,0.33441161897277943
timing__setup__ws__corner:nom_tt_025C_1v80,12.271783048203998
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.334412
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,13.476027
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,132
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,1
design__max_cap_violation__count__corner:nom_ss_100C_1v60,1
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.27951738936821535
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.27097921895585964
timing__hold__ws__corner:nom_ss_100C_1v60,0.9201648592420352
timing__setup__ws__corner:nom_ss_100C_1v60,7.329372871633013
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.920165
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,7.329373
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,11
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,1
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.2602441391602428
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.2592617582891196
timing__hold__ws__corner:nom_ff_n40C_1v95,0.11507006784240029
timing__setup__ws__corner:nom_ff_n40C_1v95,13.512027434943983
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.115070
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,Infinity
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,165
design__max_fanout_violation__count,1
design__max_cap_violation__count,1
clock__skew__worst_hold,-0.2602441391602428
clock__skew__worst_setup,0.2579012354451145
timing__hold__ws,0.11193374322028413
timing__setup__ws,7.202499245325877
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.111934
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,7.202499
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 111.52
design__core__bbox,2.76 2.72 158.24 108.8
design__io,45
design__die__area,17954.7
design__core__area,16493.3
design__instance__count__stdcell,1223
design__instance__area__stdcell,11033.1
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.668942
design__instance__utilization__stdcell,0.668942
design__rows,39
design__rows:unithd,39
design__sites,13182
design__sites:unithd,13182
design__instance__count__class:buffer,4
design__instance__area__class:buffer,20.0192
design__instance__count__class:inverter,27
design__instance__area__class:inverter,101.347
design__instance__count__class:sequential_cell,100
design__instance__area__class:sequential_cell,2127.04
design__instance__count__class:multi_input_combinational_cell,743
design__instance__area__class:multi_input_combinational_cell,7224.43
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,1664
design__instance__area__class:fill_cell,5460.24
design__instance__count__class:tap_cell,225
design__instance__area__class:tap_cell,281.52
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,761.403
design__instance__displacement__mean,0.585
design__instance__displacement__max,35.98
route__wirelength__estimated,22294.6
design__violations,0
design__instance__count__class:timing_repair_buffer,95
design__instance__area__class:timing_repair_buffer,943.405
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,29
design__instance__area__class:clock_buffer,335.322
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,42
global_route__vias,7159
global_route__wirelength,40095
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,1005
route__net__special,2
route__drc_errors__iter:0,422
route__wirelength__iter:0,25120
route__drc_errors__iter:1,133
route__wirelength__iter:1,24772
route__drc_errors__iter:2,123
route__wirelength__iter:2,24619
route__drc_errors__iter:3,4
route__wirelength__iter:3,24604
route__drc_errors__iter:4,0
route__wirelength__iter:4,24605
route__drc_errors,0
route__wirelength,24605
route__vias,7317
route__vias__singlecut,7317
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,4
design__critical_disconnected_pin__count,0
route__wirelength__max,345.92
timing__unannotated_net__count__corner:nom_tt_025C_1v80,28
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,28
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,28
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,11
