Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,448
design__inferred_latch__count,0
design__instance__count,2233
design__instance__area,16493.3
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,44
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,1
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0009981748880818486
power__switching__total,0.0005132221267558634
power__leakage__total,1.9681328566889533E-8
power__total,0.0015114167472347617
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.2656545336680138
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.2681140663151774
timing__hold__ws__corner:nom_tt_025C_1v80,0.3394767341101268
timing__setup__ws__corner:nom_tt_025C_1v80,9.741743687465993
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.339477
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,9.741744
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,448
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,1
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.27425459901574284
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.2777806674416764
timing__hold__ws__corner:nom_ss_100C_1v60,0.9632576120500946
timing__setup__ws__corner:nom_ss_100C_1v60,-0.17114665724605396
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,-0.17114665724605396
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,-0.17114665724605396
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.963258
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,1
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,-0.171147
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,1
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,1
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.26233235770631913
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.2647365734897164
timing__hold__ws__corner:nom_ff_n40C_1v95,0.11650458705308943
timing__setup__ws__corner:nom_ff_n40C_1v95,13.142108218104207
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.116505
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,13.522170
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,495
design__max_fanout_violation__count,1
design__max_cap_violation__count,1
clock__skew__worst_hold,-0.2608519307722634
clock__skew__worst_setup,0.26229130720882265
timing__hold__ws,0.1150845562532814
timing__setup__ws,-0.5671161478723852
timing__hold__tns,0.0
timing__setup__tns,-0.8237855075701114
timing__hold__wns,0
timing__setup__wns,-0.5671161478723852
timing__hold_vio__count,0
timing__hold_r2r__ws,0.115085
timing__hold_r2r_vio__count,0
timing__setup_vio__count,3
timing__setup_r2r__ws,-0.567116
timing__setup_r2r_vio__count,3
design__die__bbox,0.0 0.0 161.0 111.52
design__core__bbox,2.76 2.72 158.24 108.8
design__io,45
design__die__area,17954.7
design__core__area,16493.3
design__instance__count__stdcell,1470
design__instance__area__stdcell,14441.4
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.875588
design__instance__utilization__stdcell,0.875588
design__rows,39
design__rows:unithd,39
design__sites,13182
design__sites:unithd,13182
design__instance__count__class:buffer,2
design__instance__area__class:buffer,10.0096
design__instance__count__class:inverter,10
design__instance__area__class:inverter,37.536
design__instance__count__class:sequential_cell,154
design__instance__area__class:sequential_cell,3275.64
design__instance__count__class:multi_input_combinational_cell,851
design__instance__area__class:multi_input_combinational_cell,8166.58
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,763
design__instance__area__class:fill_cell,2051.97
design__instance__count__class:tap_cell,225
design__instance__area__class:tap_cell,281.52
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
flow__warnings__count:GPL-0302,1
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,8136.99
design__instance__displacement__mean,5.314
design__instance__displacement__max,122.94
route__wirelength__estimated,40735.8
design__violations,0
design__instance__count__class:timing_repair_buffer,156
design__instance__area__class:timing_repair_buffer,1536.47
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,55
design__instance__area__class:clock_buffer,1091.05
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,63
global_route__vias,32
global_route__wirelength,70497
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,2
design__instance__count__class:antenna_cell,17
design__instance__area__class:antenna_cell,42.5408
flow__warnings__count:GRT-0243,1
route__net,1241
route__net__special,2
route__drc_errors__iter:0,65
route__wirelength__iter:0,48890
route__drc_errors__iter:1,26
route__wirelength__iter:1,48878
route__drc_errors__iter:2,6
route__wirelength__iter:2,48893
route__drc_errors__iter:3,1
route__wirelength__iter:3,48900
route__drc_errors__iter:4,0
route__wirelength__iter:4,48898
route__drc_errors__iter:5,201
route__wirelength__iter:5,48937
route__drc_errors__iter:6,136
route__wirelength__iter:6,48925
route__drc_errors__iter:7,127
route__wirelength__iter:7,48937
route__drc_errors__iter:8,64
route__wirelength__iter:8,48936
route__drc_errors__iter:9,24
route__wirelength__iter:9,48872
route__drc_errors__iter:10,5
route__wirelength__iter:10,48874
route__drc_errors__iter:11,5
route__wirelength__iter:11,48874
route__drc_errors__iter:12,0
route__wirelength__iter:12,48870
route__drc_errors,0
