Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,40
design__inferred_latch__count,0
design__instance__count,5827
design__instance__area,34255.4
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,124
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,2
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0008177721174433827
power__switching__total,0.0002721204364206642
power__leakage__total,3.5048106639123944E-8
power__total,0.0010899276239797473
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.2725174885111343
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.2725057756578932
timing__hold__ws__corner:nom_tt_025C_1v80,0.3143432270120822
timing__setup__ws__corner:nom_tt_025C_1v80,7.938024684477383
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.314343
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,11.476374
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,712
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,2
design__max_cap_violation__count__corner:nom_ss_100C_1v60,3
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.2853477257469275
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.28671729690883924
timing__hold__ws__corner:nom_ss_100C_1v60,0.8442635718384817
timing__setup__ws__corner:nom_ss_100C_1v60,0.19557511719237022
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.844264
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,2.932456
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,11
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,2
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.26796540744797576
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.2677918240731664
timing__hold__ws__corner:nom_ff_n40C_1v95,0.11002721267732621
timing__setup__ws__corner:nom_ff_n40C_1v95,10.766159823936388
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.110027
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,14.634404
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,859
design__max_fanout_violation__count,2
design__max_cap_violation__count,3
clock__skew__worst_hold,-0.26637162673989995
clock__skew__worst_setup,0.26637162673989995
timing__hold__ws,0.10779266673246589
timing__setup__ws,-0.10604850631145155
timing__hold__tns,0.0
timing__setup__tns,-0.10604850631145155
timing__hold__wns,0
timing__setup__wns,-0.10604850631145155
timing__hold_vio__count,0
timing__hold_r2r__ws,0.107793
timing__hold_r2r_vio__count,0
timing__setup_vio__count,1
timing__setup_r2r__ws,2.599583
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 225.76
design__core__bbox,2.76 2.72 158.24 223.04
design__io,45
design__die__area,36347.4
design__core__area,34255.4
design__instance__count__stdcell,2702
design__instance__area__stdcell,24319.6
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.70995
design__instance__utilization__stdcell,0.70995
design__rows,81
design__rows:unithd,81
design__sites,27378
design__sites:unithd,27378
design__instance__count__class:buffer,2
design__instance__area__class:buffer,10.0096
design__instance__count__class:inverter,53
design__instance__area__class:inverter,198.941
design__instance__count__class:sequential_cell,164
design__instance__area__class:sequential_cell,3488.35
design__instance__count__class:multi_input_combinational_cell,1712
design__instance__area__class:multi_input_combinational_cell,16629.7
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,3125
design__instance__area__class:fill_cell,9935.78
design__instance__count__class:tap_cell,456
design__instance__area__class:tap_cell,570.547
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
flow__warnings__count:GPL-0302,1
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,2807.52
design__instance__displacement__mean,0.984
design__instance__displacement__max,77.16
route__wirelength__estimated,74009
design__violations,0
design__instance__count__class:timing_repair_buffer,251
design__instance__area__class:timing_repair_buffer,2318.47
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,53
design__instance__area__class:clock_buffer,1076.03
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,33
global_route__vias,71
global_route__wirelength,129802
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,11
design__instance__count__class:antenna_cell,11
design__instance__area__class:antenna_cell,27.5264
route__net,2250
route__net__special,2
route__drc_errors__iter:0,2692
route__wirelength__iter:0,89852
route__drc_errors__iter:1,1530
route__wirelength__iter:1,88715
route__drc_errors__iter:2,1397
route__wirelength__iter:2,88340
route__drc_errors__iter:3,485
route__wirelength__iter:3,88130
route__drc_errors__iter:4,149
route__wirelength__iter:4,88094
route__drc_errors__iter:5,6
route__wirelength__iter:5,88026
route__drc_errors__iter:6,3
route__wirelength__iter:6,88029
route__drc_errors__iter:7,3
route__wirelength__iter:7,88029
route__drc_errors__iter:8,0
route__wirelength__iter:8,88039
route__drc_errors,0
route__wirelength,88039
route__vias,19985
route__vias__singlecut,19985
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,7
design__critical_disconnected_pin__count,0
route__wirelength__max,456.06
timing__unannotated_net__count__corner:nom_tt_025C_1v80,27
