Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,0
design__inferred_latch__count,0
design__instance__count,3729
design__instance__area,16492.9
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,1
design__max_cap_violation__count__corner:nom_tt_025C_1v80,1
power__internal__total,0.00011565010936465114
power__switching__total,0.00004778901711688377
power__leakage__total,1.3147795741019763E-8
power__total,0.00016345227777492255
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.2516124602109934
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.25157637796167265
timing__hold__ws__corner:nom_tt_025C_1v80,0.339949744643146
timing__setup__ws__corner:nom_tt_025C_1v80,8.774283770126539
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.339950
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,8.774283
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,0
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,1
design__max_cap_violation__count__corner:nom_ss_100C_1v60,1
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.252500499877931
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.2524654168293606
timing__hold__ws__corner:nom_ss_100C_1v60,0.8794143995264233
timing__setup__ws__corner:nom_ss_100C_1v60,7.743387483722742
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.879414
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,7.743388
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,1
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,1
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.25122235558468287
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.2511858292461397
timing__hold__ws__corner:nom_ff_n40C_1v95,0.13138984716558388
timing__setup__ws__corner:nom_ff_n40C_1v95,9.125681801856492
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.131390
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,9.125682
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,1
design__max_cap_violation__count,1
clock__skew__worst_hold,-0.2510580703279677
clock__skew__worst_setup,0.25103592137799996
timing__hold__ws,0.12926506064759977
timing__setup__ws,7.733526038449911
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.129265
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,7.733526
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 111.52
design__core__bbox,2.76 2.72 158.24 108.8
design__io,45
design__die__area,17954.7
design__core__area,16493.3
design__instance__count__stdcell,352
design__instance__area__stdcell,1151.1
design__instance__count__macros,1
design__instance__area__macros,3132.61
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.259725
design__instance__utilization__stdcell,0.0861559
design__rows,39
design__rows:unithd,39
design__sites,10678
design__sites:unithd,10678
design__instance__count__class:macro,1
design__instance__area__class:macro,3132.61
design__instance__count__class:buffer,2
design__instance__area__class:buffer,10.0096
design__instance__count__class:inverter,3
design__instance__area__class:inverter,11.2608
design__instance__count__class:sequential_cell,9
design__instance__area__class:sequential_cell,191.434
design__instance__count__class:multi_input_combinational_cell,39
design__instance__area__class:multi_input_combinational_cell,280.269
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,3
flow__warnings__count:STA-1243,18
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:tap_cell,276
design__instance__area__class:tap_cell,345.331
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,50.177
design__instance__displacement__mean,0.142
design__instance__displacement__max,12.176
route__wirelength__estimated,2749.32
design__violations,0
design__instance__count__class:timing_repair_buffer,16
design__instance__area__class:timing_repair_buffer,155.149
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,14
design__instance__count__class:clock_buffer,7
design__instance__area__class:clock_buffer,157.651
flow__warnings__count:CTS-0041,2
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,3
global_route__vias,448
global_route__wirelength,3650
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,96
route__net__special,2
route__drc_errors__iter:0,19
route__wirelength__iter:0,2785
route__drc_errors__iter:1,3
route__wirelength__iter:1,2759
route__drc_errors__iter:2,5
route__wirelength__iter:2,2754
route__drc_errors__iter:3,0
route__wirelength__iter:3,2751
route__drc_errors,0
route__wirelength,2751
route__vias,505
route__vias__singlecut,505
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
flow__warnings__count:DRT-6000,1001
design__disconnected_pin__count,24
design__critical_disconnected_pin__count,0
route__wirelength__max,245.215
design__instance__count__class:fill_cell,3376
design__instance__area__class:fill_cell,12209.2
timing__unannotated_net__count__corner:nom_tt_025C_1v80,32
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,32
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,32
