Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,2
design__inferred_latch__count,0
design__instance__count,5530
design__instance__area,34255.4
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,55
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,25
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.001282756682485342
power__switching__total,0.0004762952448800206
power__leakage__total,3.9114375738336093E-8
power__total,0.0017590910429134965
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.26780131648029537
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.2697493693655486
timing__hold__ws__corner:nom_tt_025C_1v80,0.296129962266849
timing__setup__ws__corner:nom_tt_025C_1v80,8.086632925507697
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.296130
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,14.194988
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,780
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,25
design__max_cap_violation__count__corner:nom_ss_100C_1v60,1
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.2790180110376156
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.2786146670013619
timing__hold__ws__corner:nom_ss_100C_1v60,0.8054503958444795
timing__setup__ws__corner:nom_ss_100C_1v60,4.758920503477274
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.805450
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,7.010133
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,25
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.2630088721255076
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.2649562588769272
timing__hold__ws__corner:nom_ff_n40C_1v95,0.10494744259563933
timing__setup__ws__corner:nom_ff_n40C_1v95,9.406470535401738
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.104947
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,Infinity
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,977
design__max_fanout_violation__count,25
design__max_cap_violation__count,1
clock__skew__worst_hold,-0.26166800022959413
clock__skew__worst_setup,0.262197798671929
timing__hold__ws,0.10373741048687833
timing__setup__ws,4.5915406110156995
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.103737
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,6.952278
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 225.76
design__core__bbox,2.76 2.72 158.24 223.04
design__io,45
design__die__area,36347.4
design__core__area,34255.4
design__instance__count__stdcell,2698
design__instance__area__stdcell,25544.5
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.745708
design__instance__utilization__stdcell,0.745708
design__rows,81
design__rows:unithd,81
design__sites,27378
design__sites:unithd,27378
design__instance__count__class:inverter,88
design__instance__area__class:inverter,330.317
design__instance__count__class:sequential_cell,378
design__instance__area__class:sequential_cell,8040.21
design__instance__count__class:multi_input_combinational_cell,1359
design__instance__area__class:multi_input_combinational_cell,12258
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,2832
design__instance__area__class:fill_cell,8710.85
design__instance__count__class:tap_cell,456
design__instance__area__class:tap_cell,570.547
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
flow__warnings__count:GPL-0302,1
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,2336.09
design__instance__displacement__mean,0.817
design__instance__displacement__max,45.14
route__wirelength__estimated,51308.5
design__violations,0
design__instance__count__class:timing_repair_buffer,354
design__instance__area__class:timing_repair_buffer,3497.1
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,56
design__instance__area__class:clock_buffer,770.739
design__instance__count__class:clock_inverter,4
design__instance__area__class:clock_inverter,70.0672
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,171
global_route__vias,51
global_route__wirelength,96503
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,1
design__instance__count__class:antenna_cell,3
design__instance__area__class:antenna_cell,7.5072
route__net,2238
route__net__special,2
route__drc_errors__iter:0,23
route__wirelength__iter:0,64177
route__drc_errors__iter:1,0
route__wirelength__iter:1,64173
route__drc_errors__iter:2,527
route__wirelength__iter:2,64348
route__drc_errors__iter:3,12
route__wirelength__iter:3,64186
route__drc_errors__iter:4,0
route__wirelength__iter:4,64188
route__drc_errors,0
route__wirelength,64173
route__vias,17241
route__vias__singlecut,17241
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,10
design__critical_disconnected_pin__count,0
route__wirelength__max,443.245
timing__unannotated_net__count__corner:nom_tt_025C_1v80,38
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,38
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,38
