Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,0
design__inferred_latch__count,0
design__instance__count,4293
design__instance__area,16493.3
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,0
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.00018381564586889
power__switching__total,0.00004203422213322483
power__leakage__total,1.6825058679614813E-8
power__total,0.00022586669365409762
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.2552268746366101
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.25531050218830514
timing__hold__ws__corner:nom_tt_025C_1v80,0.3229281933262494
timing__setup__ws__corner:nom_tt_025C_1v80,13.877714481494191
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.322928
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,Infinity
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,0
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,0
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.25667188545517866
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.2567487128906556
timing__hold__ws__corner:nom_ss_100C_1v60,0.8918154245287575
timing__setup__ws__corner:nom_ss_100C_1v60,12.155440553717089
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.891815
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,Infinity
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,0
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.2543009208523094
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.25438765702856125
timing__hold__ws__corner:nom_ff_n40C_1v95,0.10745327154423923
timing__setup__ws__corner:nom_ff_n40C_1v95,14.632167891483245
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.107453
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,Infinity
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,0
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.25304642431015456
clock__skew__worst_setup,0.253112343804106
timing__hold__ws,0.10604928346759075
timing__setup__ws,12.104256606299028
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.106049
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,inf
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 111.52
design__core__bbox,2.76 2.72 158.24 108.8
design__io,45
design__die__area,17954.7
design__core__area,16493.3
design__instance__count__stdcell,430
design__instance__area__stdcell,2559.96
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.155212
design__instance__utilization__stdcell,0.155212
design__rows,39
design__rows:unithd,39
design__sites,13182
design__sites:unithd,13182
design__instance__count__class:inverter,5
design__instance__area__class:inverter,18.768
design__instance__count__class:sequential_cell,37
design__instance__area__class:sequential_cell,787.005
design__instance__count__class:multi_input_combinational_cell,129
design__instance__area__class:multi_input_combinational_cell,1004.71
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,3863
design__instance__area__class:fill_cell,13933.4
design__instance__count__class:tap_cell,225
design__instance__area__class:tap_cell,281.52
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,104.752
design__instance__displacement__mean,0.206
design__instance__displacement__max,5.26
route__wirelength__estimated,2996.05
design__violations,0
design__instance__count__class:timing_repair_buffer,22
design__instance__area__class:timing_repair_buffer,220.211
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,12
design__instance__area__class:clock_buffer,247.738
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,18
global_route__vias,1173
global_route__wirelength,5533
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,221
route__net__special,2
route__drc_errors__iter:0,62
route__wirelength__iter:0,3322
route__drc_errors__iter:1,24
route__wirelength__iter:1,3253
route__drc_errors__iter:2,8
route__wirelength__iter:2,3274
route__drc_errors__iter:3,0
route__wirelength__iter:3,3271
route__drc_errors,0
route__wirelength,3271
route__vias,1352
route__vias__singlecut,1352
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,17
design__critical_disconnected_pin__count,0
route__wirelength__max,159.01
timing__unannotated_net__count__corner:nom_tt_025C_1v80,37
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,37
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,37
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,0
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
