Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,0
design__inferred_latch__count,0
design__instance__count,4876
design__instance__area,34255.4
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,255
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,14
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0009025699109770358
power__switching__total,0.000379203847842291
power__leakage__total,3.902741951833377E-8
power__total,0.0012818127870559692
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.2696782040676574
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.2685822473779029
timing__hold__ws__corner:nom_tt_025C_1v80,0.32998665844953573
timing__setup__ws__corner:nom_tt_025C_1v80,8.638174864350171
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.329987
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,8.638175
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,1112
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,14
design__max_cap_violation__count__corner:nom_ss_100C_1v60,8
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.2790831811310042
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.2781398246003003
timing__hold__ws__corner:nom_ss_100C_1v60,0.8798726440927973
timing__setup__ws__corner:nom_ss_100C_1v60,-2.5717775303954094
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,-4.368841412296986
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,-2.5717775303954094
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.879873
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,2
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,-2.571778
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,2
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,44
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,14
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.26460850926020396
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.26356589878829145
timing__hold__ws__corner:nom_ff_n40C_1v95,0.11285961373785569
timing__setup__ws__corner:nom_ff_n40C_1v95,12.38732440573368
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.112860
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,12.756168
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,1277
design__max_fanout_violation__count,14
design__max_cap_violation__count,14
clock__skew__worst_hold,-0.26300218303159506
clock__skew__worst_setup,0.26234262726958735
timing__hold__ws,0.11275447561445018
timing__setup__ws,-3.027022274072106
timing__hold__tns,0.0
timing__setup__tns,-5.282023856695073
timing__hold__wns,0
timing__setup__wns,-3.027022274072106
timing__hold_vio__count,0
timing__hold_r2r__ws,0.112754
timing__hold_r2r_vio__count,0
timing__setup_vio__count,6
timing__setup_r2r__ws,-3.027022
timing__setup_r2r_vio__count,6
design__die__bbox,0.0 0.0 161.0 225.76
design__core__bbox,2.76 2.72 158.24 223.04
design__io,45
design__die__area,36347.4
design__core__area,34255.4
design__instance__count__stdcell,3213
design__instance__area__stdcell,29811.1
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.870261
design__instance__utilization__stdcell,0.870261
design__rows,81
design__rows:unithd,81
design__sites,27378
design__sites:unithd,27378
design__instance__count__class:buffer,5
design__instance__area__class:buffer,25.024
design__instance__count__class:inverter,92
design__instance__area__class:inverter,345.331
design__instance__count__class:sequential_cell,256
design__instance__area__class:sequential_cell,5445.22
design__instance__count__class:multi_input_combinational_cell,2023
design__instance__area__class:multi_input_combinational_cell,19606.3
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,1663
design__instance__area__class:fill_cell,4444.26
design__instance__count__class:tap_cell,456
design__instance__area__class:tap_cell,570.547
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
flow__warnings__count:GPL-0302,1
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,11110.8
design__instance__displacement__mean,3.309
design__instance__displacement__max,180.02
route__wirelength__estimated,92620.9
design__violations,0
design__instance__count__class:timing_repair_buffer,316
design__instance__area__class:timing_repair_buffer,3095.47
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,43
design__instance__area__class:clock_buffer,629.354
design__instance__count__class:clock_inverter,4
design__instance__area__class:clock_inverter,48.7968
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,110
global_route__vias,108
global_route__wirelength,166124
flow__warnings__count:GRT-0115,1
flow__warnings__count:GRT-0273,1
flow__warnings__count:GRT-0704,1
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,5
design__instance__count__class:antenna_cell,18
design__instance__area__class:antenna_cell,45.0432
route__net,2741
route__net__special,2
route__drc_errors__iter:0,581
route__wirelength__iter:0,109949
route__drc_errors__iter:1,200
route__wirelength__iter:1,109788
route__drc_errors__iter:2,169
route__wirelength__iter:2,109764
route__drc_errors__iter:3,69
route__wirelength__iter:3,109791
route__drc_errors__iter:4,26
route__wirelength__iter:4,109776
route__drc_errors__iter:5,1
route__wirelength__iter:5,109767
route__drc_errors__iter:6,1
route__wirelength__iter:6,109767
route__drc_errors__iter:7,0
route__wirelength__iter:7,109767
route__drc_errors__iter:8,20
route__wirelength__iter:8,109802
route__drc_errors__iter:9,4
route__wirelength__iter:9,109815
route__drc_errors__iter:10,4
route__wirelength__iter:10,109815
