Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,0
design__inferred_latch__count,0
design__instance__count,2084
design__instance__area,16493.3
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,154
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,14
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0009946983773261309
power__switching__total,0.0006830277852714062
power__leakage__total,1.7826097931106233E-8
power__total,0.0016777439741417766
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.271640134741111
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.27108818734880846
timing__hold__ws__corner:nom_tt_025C_1v80,0.33672110497392144
timing__setup__ws__corner:nom_tt_025C_1v80,10.715838297788247
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.336721
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,13.450203
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,343
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,14
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.28405720246660476
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.283976711295043
timing__hold__ws__corner:nom_ss_100C_1v60,0.9202636690940214
timing__setup__ws__corner:nom_ss_100C_1v60,7.426783842568594
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.920264
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,7.426784
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,14
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.2659162409978951
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.26504257871953313
timing__hold__ws__corner:nom_ff_n40C_1v95,0.12144618987545407
timing__setup__ws__corner:nom_ff_n40C_1v95,11.060088269394292
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.121446
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,17.597450
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,468
design__max_fanout_violation__count,14
design__max_cap_violation__count,2
clock__skew__worst_hold,-0.2647925564873164
clock__skew__worst_setup,0.2643789428877945
timing__hold__ws,0.11828049985350607
timing__setup__ws,7.151036409876145
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.118281
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,7.151036
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 111.52
design__core__bbox,2.76 2.72 158.24 108.8
design__io,45
design__die__area,17954.7
design__core__area,16493.3
design__instance__count__stdcell,1297
design__instance__area__stdcell,14251.2
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.864057
design__instance__utilization__stdcell,0.864057
design__rows,39
design__rows:unithd,39
design__sites,13182
design__sites:unithd,13182
design__instance__count__class:buffer,3
design__instance__area__class:buffer,15.0144
design__instance__count__class:inverter,11
design__instance__area__class:inverter,41.2896
design__instance__count__class:sequential_cell,214
design__instance__area__class:sequential_cell,5622.89
design__instance__count__class:multi_input_combinational_cell,509
design__instance__area__class:multi_input_combinational_cell,5027.32
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,787
design__instance__area__class:fill_cell,2242.15
design__instance__count__class:tap_cell,225
design__instance__area__class:tap_cell,281.52
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
flow__warnings__count:GPL-0302,1
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,11686.3
design__instance__displacement__mean,8.63
design__instance__displacement__max,157.986
route__wirelength__estimated,39453.2
design__violations,0
design__instance__count__class:timing_repair_buffer,280
design__instance__area__class:timing_repair_buffer,2738.88
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,33
design__instance__area__class:clock_buffer,466.698
design__instance__count__class:clock_inverter,1
design__instance__area__class:clock_inverter,5.0048
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,181
global_route__vias,43
global_route__wirelength,69690
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,3
design__instance__count__class:antenna_cell,21
design__instance__area__class:antenna_cell,52.5504
route__net,1060
route__net__special,2
route__drc_errors__iter:0,238
route__wirelength__iter:0,46981
route__drc_errors__iter:1,57
route__wirelength__iter:1,46904
route__drc_errors__iter:2,31
route__wirelength__iter:2,46895
route__drc_errors__iter:3,7
route__wirelength__iter:3,46917
route__drc_errors__iter:4,7
route__wirelength__iter:4,46917
route__drc_errors__iter:5,0
route__wirelength__iter:5,46909
route__drc_errors__iter:6,0
route__wirelength__iter:6,46929
route__drc_errors,0
route__wirelength,46909
route__vias,9246
route__vias__singlecut,9246
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,13
design__critical_disconnected_pin__count,0
route__wirelength__max,324.495
timing__unannotated_net__count__corner:nom_tt_025C_1v80,36
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
