Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,471
design__inferred_latch__count,0
design__instance__count,2565
design__instance__area,16493.3
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,0
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.012153827585279942
power__switching__total,0.01288414653390646
power__leakage__total,1.819567962968449E-8
power__total,0.025037992745637894
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.25368213803203415
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.2534288683973786
timing__hold__ws__corner:nom_tt_025C_1v80,0.31734993309240755
timing__setup__ws__corner:nom_tt_025C_1v80,9.327634040282668
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.317350
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,9.327634
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,126
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,0
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.25560040918380955
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.2554636852144601
timing__hold__ws__corner:nom_ss_100C_1v60,0.8409315704027411
timing__setup__ws__corner:nom_ss_100C_1v60,-0.9714007650991169
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,-2.1068214436030557
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,-0.9714007650991169
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.840932
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,4
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,-0.971401
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,4
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,0
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.2530438985527021
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.25272515351331754
timing__hold__ws__corner:nom_ff_n40C_1v95,0.10956669215368729
timing__setup__ws__corner:nom_ff_n40C_1v95,13.229711034473647
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.109567
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,13.229711
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,181
design__max_fanout_violation__count,0
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2524595604027401
clock__skew__worst_setup,0.25231767389618015
timing__hold__ws,0.10804490941079463
timing__setup__ws,-1.1692691590360111
timing__hold__tns,0.0
timing__setup__tns,-2.8660310491641185
timing__hold__wns,0
timing__setup__wns,-1.1692691590360111
timing__hold_vio__count,0
timing__hold_r2r__ws,0.108045
timing__hold_r2r_vio__count,0
timing__setup_vio__count,11
timing__setup_r2r__ws,-1.169269
timing__setup_r2r_vio__count,11
design__die__bbox,0.0 0.0 161.0 111.52
design__core__bbox,2.76 2.72 158.24 108.8
design__io,45
design__die__area,17954.7
design__core__area,16493.3
design__instance__count__stdcell,1536
design__instance__area__stdcell,13583
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.823547
design__instance__utilization__stdcell,0.823547
design__rows,39
design__rows:unithd,39
design__sites,13182
design__sites:unithd,13182
design__instance__count__class:buffer,5
design__instance__area__class:buffer,25.024
design__instance__count__class:inverter,37
design__instance__area__class:inverter,138.883
design__instance__count__class:sequential_cell,67
design__instance__area__class:sequential_cell,1425.12
design__instance__count__class:multi_input_combinational_cell,1083
design__instance__area__class:multi_input_combinational_cell,10502.6
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,1029
design__instance__area__class:fill_cell,2910.29
design__instance__count__class:tap_cell,225
design__instance__area__class:tap_cell,281.52
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
flow__warnings__count:GPL-0302,1
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,1849.64
design__instance__displacement__mean,1.145
design__instance__displacement__max,49.08
route__wirelength__estimated,24637.4
design__violations,0
design__instance__count__class:timing_repair_buffer,105
design__instance__area__class:timing_repair_buffer,947.158
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,14
design__instance__area__class:clock_buffer,262.752
design__instance__count__setup_buffer,1
design__instance__count__hold_buffer,38
global_route__vias,8656
global_route__wirelength,44760
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,1325
route__net__special,2
route__drc_errors__iter:0,491
route__wirelength__iter:0,26875
route__drc_errors__iter:1,194
route__wirelength__iter:1,26481
route__drc_errors__iter:2,179
route__wirelength__iter:2,26449
route__drc_errors__iter:3,61
route__wirelength__iter:3,26445
route__drc_errors__iter:4,39
route__wirelength__iter:4,26425
route__drc_errors__iter:5,22
route__wirelength__iter:5,26455
route__drc_errors__iter:6,5
route__wirelength__iter:6,26458
route__drc_errors__iter:7,0
route__wirelength__iter:7,26454
route__drc_errors,0
route__wirelength,26454
route__vias,8917
route__vias__singlecut,8917
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,14
design__critical_disconnected_pin__count,0
route__wirelength__max,269.28
timing__unannotated_net__count__corner:nom_tt_025C_1v80,38
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,38
