Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,441
design__inferred_latch__count,0
design__instance__count,1444
design__instance__area,14337.5
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,10
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0017717625014483929
power__switching__total,0.0015797134255990386
power__leakage__total,1.4947223903050144E-8
power__total,0.003351490944623947
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.27234240633519924
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.2759344775218134
timing__hold__ws__corner:nom_tt_025C_1v80,0.3424843283688969
timing__setup__ws__corner:nom_tt_025C_1v80,7.52540628890291
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.342484
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,11.507751
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,0
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,10
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.27942146609617485
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.2840397719646252
timing__hold__ws__corner:nom_ss_100C_1v60,0.938478765707297
timing__setup__ws__corner:nom_ss_100C_1v60,-0.09138468018748115
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,-0.09138468018748115
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,-0.09138468018748115
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.938479
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,1
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,3.484891
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,10
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.2672898367183849
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.2708053857808626
timing__hold__ws__corner:nom_ff_n40C_1v95,0.12077389430387848
timing__setup__ws__corner:nom_ff_n40C_1v95,10.518609392331623
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.120774
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,14.638964
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,7
design__max_fanout_violation__count,10
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2644185778508946
clock__skew__worst_setup,0.2689136212045498
timing__hold__ws,0.11692824817126833
timing__setup__ws,-0.455553829775494
timing__hold__tns,0.0
timing__setup__tns,-0.7093597021671221
timing__hold__wns,0
timing__setup__wns,-0.455553829775494
timing__hold_vio__count,0
timing__hold_r2r__ws,0.116928
timing__hold_r2r_vio__count,0
timing__setup_vio__count,4
timing__setup_r2r__ws,3.139917
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 111.52
design__core__bbox,2.76 2.72 158.24 108.8
design__io,45
design__die__area,17954.7
design__core__area,16493.3
design__instance__count__stdcell,1444
design__instance__area__stdcell,14337.5
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.869291
design__instance__utilization__stdcell,0.869291
design__instance__count__class:buffer,8
design__instance__count__class:inverter,14
design__instance__count__class:sequential_cell,214
design__instance__count__class:multi_input_combinational_cell,668
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,587
design__instance__count__class:tap_cell,225
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,32964.1
design__violations,0
design__instance__count__class:timing_repair_buffer,288
design__instance__count__class:clock_buffer,15
design__instance__count__class:clock_inverter,9
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,207
antenna__violating__nets,2
antenna__violating__pins,2
route__antenna_violation__count,2
antenna_diodes_count,3
design__instance__count__class:antenna_cell,3
route__net,1226
route__net__special,2
route__drc_errors__iter:1,887
route__wirelength__iter:1,38831
route__drc_errors__iter:2,455
route__wirelength__iter:2,38364
route__drc_errors__iter:3,548
route__wirelength__iter:3,38131
route__drc_errors__iter:4,96
route__wirelength__iter:4,38129
route__drc_errors__iter:5,36
route__wirelength__iter:5,38182
route__drc_errors__iter:6,36
route__wirelength__iter:6,38182
route__drc_errors__iter:7,33
route__wirelength__iter:7,38184
route__drc_errors__iter:8,32
route__wirelength__iter:8,38185
route__drc_errors__iter:9,14
route__wirelength__iter:9,38169
route__drc_errors__iter:10,14
route__wirelength__iter:10,38169
route__drc_errors__iter:11,0
route__wirelength__iter:11,38176
route__drc_errors,0
route__wirelength,38176
route__vias,9461
route__vias__singlecut,9461
route__vias__multicut,0
design__disconnected_pin__count,3
design__critical_disconnected_pin__count,0
route__wirelength__max,327.01
timing__unannotated_net__count__corner:nom_tt_025C_1v80,12
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,12
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,12
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,10
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.2686720089119825
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.2738988280374398
