Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,851
design__inferred_latch__count,0
design__instance__count,184775
design__instance__area,694446
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,9
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,21
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.003309830790385604
power__switching__total,0.0019267428433522582
power__leakage__total,7.200966365417116E-7
power__total,0.005237293429672718
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.3068148877359099
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.30970596408495027
timing__hold__ws__corner:nom_tt_025C_1v80,0.30925818337087924
timing__setup__ws__corner:nom_tt_025C_1v80,1.8973196883959154
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.309258
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,1.897320
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,479
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,21
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.34875434083337115
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.35268908236622726
timing__hold__ws__corner:nom_ss_100C_1v60,0.8249573480057452
timing__setup__ws__corner:nom_ss_100C_1v60,-14.077226893732446
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,-370.9153125183534
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,-14.077226893732446
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.824957
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,30
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,-14.077227
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,30
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,21
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.290945636928861
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.29306527478742284
timing__hold__ws__corner:nom_ff_n40C_1v95,0.1062833739989535
timing__setup__ws__corner:nom_ff_n40C_1v95,8.803350297911704
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.106283
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,8.803350
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,603
design__max_fanout_violation__count,21
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2874293939769733
clock__skew__worst_setup,0.28935524240110605
timing__hold__ws,0.1051098127175829
timing__setup__ws,-14.306034095616184
timing__hold__tns,0.0
timing__setup__tns,-378.27596703481294
timing__hold__wns,0
timing__setup__wns,-14.306034095616184
timing__hold_vio__count,0
timing__hold_r2r__ws,0.105110
timing__hold_r2r_vio__count,0
timing__setup_vio__count,90
timing__setup_r2r__ws,-14.306034
timing__setup_r2r_vio__count,90
design__die__bbox,0.0 0.0 1378.16 511.36
design__core__bbox,2.76 2.72 1375.4 508.64
design__io,45
design__die__area,704736
design__core__area,694446
design__instance__count__stdcell,22523
design__instance__area__stdcell,115135
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.165795
design__instance__utilization__stdcell,0.165795
design__rows,186
design__rows:unithd,186
design__sites,555024
design__sites:unithd,555024
design__instance__count__class:buffer,5614
design__instance__area__class:buffer,28035.6
design__instance__count__class:inverter,243
design__instance__area__class:inverter,919.632
design__instance__count__class:sequential_cell,476
design__instance__area__class:sequential_cell,12507
design__instance__count__class:multi_input_combinational_cell,4375
design__instance__area__class:multi_input_combinational_cell,44199.9
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,162252
design__instance__area__class:fill_cell,579311
design__instance__count__class:tap_cell,9964
design__instance__area__class:tap_cell,12467
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
flow__warnings__count:GRT-0281,1
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,3398.56
design__instance__displacement__mean,0.148
design__instance__displacement__max,10.92
route__wirelength__estimated,171968
design__violations,0
design__instance__count__class:timing_repair_buffer,1749
design__instance__area__class:timing_repair_buffer,15755.1
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,81
design__instance__area__class:clock_buffer,1051.01
design__instance__count__class:clock_inverter,12
design__instance__area__class:clock_inverter,177.67
design__instance__count__setup_buffer,334
design__instance__count__hold_buffer,290
flow__warnings__count:RSZ-0062,1
global_route__vias,7
global_route__wirelength,310569
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,9
route__net,12535
route__net__special,2
route__drc_errors__iter:0,7
route__wirelength__iter:0,193211
route__drc_errors__iter:1,0
route__wirelength__iter:1,193209
route__drc_errors__iter:2,2
route__wirelength__iter:2,193213
route__drc_errors__iter:3,0
route__wirelength__iter:3,193208
route__drc_errors__iter:4,0
route__wirelength__iter:4,193190
route__drc_errors,0
route__wirelength,193209
route__vias,55751
route__vias__singlecut,55751
route__vias__multicut,0
design__instance__count__class:antenna_cell,9
design__instance__area__class:antenna_cell,22.5216
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,606.17
timing__unannotated_net__count__corner:nom_tt_025C_1v80,5602
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,5602
