Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,0
design__inferred_latch__count,0
design__instance__count,3209
design__instance__area,16493.3
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,55
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,0
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.00027528003556653857
power__switching__total,0.00012334856728557497
power__leakage__total,1.679065064763563E-8
power__total,0.00039864538121037185
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.2565879803477196
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.25738945037186367
timing__hold__ws__corner:nom_tt_025C_1v80,0.3286186971110553
timing__setup__ws__corner:nom_tt_025C_1v80,12.68031937564608
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.328619
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,12.680320
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,372
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,0
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.2612371226615511
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.2620164437357274
timing__hold__ws__corner:nom_ss_100C_1v60,0.8784878073638653
timing__setup__ws__corner:nom_ss_100C_1v60,5.712730006298296
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.878488
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,5.712730
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,0
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.25517863544482583
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.25592867438589956
timing__hold__ws__corner:nom_ff_n40C_1v95,0.11497658706108303
timing__setup__ws__corner:nom_ff_n40C_1v95,13.873455665851282
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.114977
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,18.623343
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,393
design__max_fanout_violation__count,0
design__max_cap_violation__count,1
clock__skew__worst_hold,-0.25466099394495445
clock__skew__worst_setup,0.2552295391719446
timing__hold__ws,0.11245960037077009
timing__setup__ws,5.491578902608902
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.112460
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,5.491579
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 111.52
design__core__bbox,2.76 2.72 158.24 108.8
design__io,45
design__die__area,17954.7
design__core__area,16493.3
design__instance__count__stdcell,1157
design__instance__area__stdcell,9552.91
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.579199
design__instance__utilization__stdcell,0.579199
design__rows,39
design__rows:unithd,39
design__sites,13182
design__sites:unithd,13182
design__instance__count__class:buffer,2
design__instance__area__class:buffer,10.0096
design__instance__count__class:inverter,23
design__instance__area__class:inverter,86.3328
design__instance__count__class:sequential_cell,63
design__instance__area__class:sequential_cell,1340.04
design__instance__count__class:multi_input_combinational_cell,734
design__instance__area__class:multi_input_combinational_cell,6667.64
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,2052
design__instance__area__class:fill_cell,6940.41
design__instance__count__class:tap_cell,225
design__instance__area__class:tap_cell,281.52
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,1046.62
design__instance__displacement__mean,0.849
design__instance__displacement__max,29.54
route__wirelength__estimated,29102.4
design__violations,0
design__instance__count__class:timing_repair_buffer,97
design__instance__area__class:timing_repair_buffer,927.139
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,10
design__instance__area__class:clock_buffer,232.723
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,25
global_route__vias,16
global_route__wirelength,51163
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,1
design__instance__count__class:antenna_cell,3
design__instance__area__class:antenna_cell,7.5072
route__net,947
route__net__special,2
route__drc_errors__iter:0,32
route__wirelength__iter:0,35065
route__drc_errors__iter:1,2
route__wirelength__iter:1,35049
route__drc_errors__iter:2,4
route__wirelength__iter:2,35049
route__drc_errors__iter:3,0
route__wirelength__iter:3,35050
route__drc_errors__iter:4,17
route__wirelength__iter:4,35049
route__drc_errors__iter:5,0
route__wirelength__iter:5,35044
route__drc_errors,0
route__wirelength,35050
route__vias,8119
route__vias__singlecut,8119
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,15
design__critical_disconnected_pin__count,0
route__wirelength__max,307.47
timing__unannotated_net__count__corner:nom_tt_025C_1v80,32
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,32
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,32
