Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,5
design__inferred_latch__count,0
design__instance__count,3479
design__instance__area,16493.3
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,0
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.00012371031334623694
power__switching__total,0.00004912581789540127
power__leakage__total,1.6891492649051543E-8
power__total,0.00017285301873926073
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.2541802118505431
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.25326000347055727
timing__hold__ws__corner:nom_tt_025C_1v80,0.37684539888593555
timing__setup__ws__corner:nom_tt_025C_1v80,6.067742924298663
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.376845
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,Infinity
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,124
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,0
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.2555171979657605
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.25470484775566743
timing__hold__ws__corner:nom_ss_100C_1v60,0.9924435998360867
timing__setup__ws__corner:nom_ss_100C_1v60,-2.8709266887519638
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,-17.211335066539554
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,-2.8709266887519638
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.992444
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,6
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,Infinity
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,0
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.2533677783737208
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.25242142424076564
timing__hold__ws__corner:nom_ff_n40C_1v95,0.14026247227356695
timing__setup__ws__corner:nom_ff_n40C_1v95,9.312069601215649
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.140262
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,Infinity
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,135
design__max_fanout_violation__count,0
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.25287683773834685
clock__skew__worst_setup,0.252103511868673
timing__hold__ws,0.13609252998629207
timing__setup__ws,-3.0420804514255764
timing__hold__tns,0.0
timing__setup__tns,-18.235683701448142
timing__hold__wns,0
timing__setup__wns,-3.0420804514255764
timing__hold_vio__count,0
timing__hold_r2r__ws,0.136093
timing__hold_r2r_vio__count,0
timing__setup_vio__count,18
timing__setup_r2r__ws,inf
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 111.52
design__core__bbox,2.76 2.72 158.24 108.8
design__io,45
design__die__area,17954.7
design__core__area,16493.3
design__instance__count__stdcell,1025
design__instance__area__stdcell,8071.49
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.489379
design__instance__utilization__stdcell,0.489379
design__rows,39
design__rows:unithd,39
design__sites,13182
design__sites:unithd,13182
design__instance__count__class:buffer,2
design__instance__area__class:buffer,10.0096
design__instance__count__class:inverter,28
design__instance__area__class:inverter,105.101
design__instance__count__class:sequential_cell,34
design__instance__area__class:sequential_cell,783.251
design__instance__count__class:multi_input_combinational_cell,656
design__instance__area__class:multi_input_combinational_cell,6172.17
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,2454
design__instance__area__class:fill_cell,8421.83
design__instance__count__class:tap_cell,225
design__instance__area__class:tap_cell,281.52
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,289.976
design__instance__displacement__mean,0.263
design__instance__displacement__max,10.437
route__wirelength__estimated,18609.6
design__violations,0
design__instance__count__class:timing_repair_buffer,73
design__instance__area__class:timing_repair_buffer,584.31
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,6
design__instance__area__class:clock_buffer,132.627
design__instance__count__setup_buffer,25
design__instance__count__hold_buffer,3
flow__warnings__count:RSZ-0062,1
global_route__vias,2176
global_route__wirelength,32367
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,1
design__instance__count__class:antenna_cell,1
design__instance__area__class:antenna_cell,2.5024
route__net,817
route__net__special,2
route__drc_errors__iter:0,422
route__wirelength__iter:0,21419
route__drc_errors__iter:1,253
route__wirelength__iter:1,21289
route__drc_errors__iter:2,182
route__wirelength__iter:2,21169
route__drc_errors__iter:3,77
route__wirelength__iter:3,21138
route__drc_errors__iter:4,0
route__wirelength__iter:4,21133
route__drc_errors,0
route__wirelength,21133
route__vias,6115
route__vias__singlecut,6115
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,13
design__critical_disconnected_pin__count,0
route__wirelength__max,188.92
timing__unannotated_net__count__corner:nom_tt_025C_1v80,30
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,30
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,30
