Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,4
design__inferred_latch__count,0
design__instance__count,2051
design__instance__area,16493.3
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,1
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.007040880620479584
power__switching__total,0.006925091613084078
power__leakage__total,1.7573155375316674E-8
power__total,0.013965989463031292
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.26568711871470807
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.2636824999647504
timing__hold__ws__corner:nom_tt_025C_1v80,0.30811448708971567
timing__setup__ws__corner:nom_tt_025C_1v80,7.105900957667306
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.308114
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,7.105901
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,76
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,1
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.27586497755850625
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.27267208707168566
timing__hold__ws__corner:nom_ss_100C_1v60,0.8228370440133498
timing__setup__ws__corner:nom_ss_100C_1v60,-4.431955372585862
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,-33.29754699546441
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,-4.431955372585862
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.822837
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,8
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,-4.431955
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,8
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,1
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.2618169366525598
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.2604550537853111
timing__hold__ws__corner:nom_ff_n40C_1v95,0.11150752858907637
timing__setup__ws__corner:nom_ff_n40C_1v95,9.78786857046236
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.111508
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,11.900021
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,93
design__max_fanout_violation__count,1
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.26065031426528934
clock__skew__worst_setup,0.25925856639783357
timing__hold__ws,0.10958279038799965
timing__setup__ws,-4.740430404613021
timing__hold__tns,0.0
timing__setup__tns,-35.632301673361496
timing__hold__wns,0
timing__setup__wns,-4.740430404613021
timing__hold_vio__count,0
timing__hold_r2r__ws,0.109583
timing__hold_r2r_vio__count,0
timing__setup_vio__count,24
timing__setup_r2r__ws,-4.740430
timing__setup_r2r_vio__count,24
design__die__bbox,0.0 0.0 161.0 111.52
design__core__bbox,2.76 2.72 158.24 108.8
design__io,45
design__die__area,17954.7
design__core__area,16493.3
design__instance__count__stdcell,1555
design__instance__area__stdcell,15235.9
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.92376
design__instance__utilization__stdcell,0.92376
design__rows,39
design__rows:unithd,39
design__sites,13182
design__sites:unithd,13182
design__instance__count__class:buffer,12
design__instance__area__class:buffer,60.0576
design__instance__count__class:inverter,92
design__instance__area__class:inverter,345.331
design__instance__count__class:sequential_cell,143
design__instance__area__class:sequential_cell,3757.35
design__instance__count__class:multi_input_combinational_cell,844
design__instance__area__class:multi_input_combinational_cell,8835.97
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,496
design__instance__area__class:fill_cell,1257.46
design__instance__count__class:tap_cell,225
design__instance__area__class:tap_cell,281.52
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
flow__warnings__count:GPL-0302,1
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,9914.19
design__instance__displacement__mean,6.101
design__instance__displacement__max,108.62
route__wirelength__estimated,40926.9
design__violations,0
design__instance__count__class:timing_repair_buffer,199
design__instance__area__class:timing_repair_buffer,1577.76
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,32
design__instance__area__class:clock_buffer,357.843
design__instance__count__setup_buffer,87
design__instance__count__hold_buffer,57
flow__warnings__count:RSZ-0062,1
global_route__vias,650
global_route__wirelength,74354
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,8
design__instance__count__class:antenna_cell,8
design__instance__area__class:antenna_cell,20.0192
route__net,1326
route__net__special,2
route__drc_errors__iter:0,1944
route__wirelength__iter:0,50207
route__drc_errors__iter:1,1208
route__wirelength__iter:1,49638
route__drc_errors__iter:2,1103
route__wirelength__iter:2,49473
route__drc_errors__iter:3,426
route__wirelength__iter:3,49454
route__drc_errors__iter:4,195
route__wirelength__iter:4,49408
route__drc_errors__iter:5,175
route__wirelength__iter:5,49418
route__drc_errors__iter:6,87
route__wirelength__iter:6,49476
route__drc_errors__iter:7,87
route__wirelength__iter:7,49476
route__drc_errors__iter:8,7
route__wirelength__iter:8,49445
route__drc_errors__iter:9,2
route__wirelength__iter:9,49448
route__drc_errors__iter:10,1
route__wirelength__iter:10,49450
route__drc_errors__iter:11,1
route__wirelength__iter:11,49450
route__drc_errors__iter:12,0
route__wirelength__iter:12,49453
route__drc_errors,0
