Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,9
design__inferred_latch__count,0
design__instance__count,2227
design__instance__area,16493.3
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,44
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,14
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0007686671451665461
power__switching__total,0.0002912544587161392
power__leakage__total,1.6545625314279278E-8
power__total,0.0010599381057545543
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.25868016794122123
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.2624089630971848
timing__hold__ws__corner:nom_tt_025C_1v80,0.34755382888731556
timing__setup__ws__corner:nom_tt_025C_1v80,10.94004473532782
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.347554
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,13.828850
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,251
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,14
design__max_cap_violation__count__corner:nom_ss_100C_1v60,2
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.26117739266113693
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.26682254383410425
timing__hold__ws__corner:nom_ss_100C_1v60,0.942954185868437
timing__setup__ws__corner:nom_ss_100C_1v60,6.310877332675785
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.942954
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,7.334335
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,11
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,14
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.2572730712400159
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.2600192357246687
timing__hold__ws__corner:nom_ff_n40C_1v95,0.12778495290267264
timing__setup__ws__corner:nom_ff_n40C_1v95,12.632082404307932
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.127785
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,19.034025
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,284
design__max_fanout_violation__count,14
design__max_cap_violation__count,2
clock__skew__worst_hold,-0.25628061509465927
clock__skew__worst_setup,0.2584501574795894
timing__hold__ws,0.12504242439852833
timing__setup__ws,6.20476931840853
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.125042
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,7.096356
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 111.52
design__core__bbox,2.76 2.72 158.24 108.8
design__io,45
design__die__area,17954.7
design__core__area,16493.3
design__instance__count__stdcell,1283
design__instance__area__stdcell,13716.9
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.831664
design__instance__utilization__stdcell,0.831664
design__rows,39
design__rows:unithd,39
design__sites,13182
design__sites:unithd,13182
design__instance__count__class:inverter,7
design__instance__area__class:inverter,26.2752
design__instance__count__class:sequential_cell,201
design__instance__area__class:sequential_cell,5281.32
design__instance__count__class:multi_input_combinational_cell,609
design__instance__area__class:multi_input_combinational_cell,5635.4
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,944
design__instance__area__class:fill_cell,2776.41
design__instance__count__class:tap_cell,225
design__instance__area__class:tap_cell,281.52
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
flow__warnings__count:GPL-0302,1
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,1996.58
design__instance__displacement__mean,1.469
design__instance__displacement__max,48.52
route__wirelength__estimated,30064.3
design__violations,0
design__instance__count__class:timing_repair_buffer,204
design__instance__area__class:timing_repair_buffer,1970.64
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,33
design__instance__area__class:clock_buffer,456.688
design__instance__count__class:clock_inverter,2
design__instance__area__class:clock_inverter,60.0576
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,92
global_route__vias,3748
global_route__wirelength,53585
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,2
design__instance__count__class:antenna_cell,2
design__instance__area__class:antenna_cell,5.0048
route__net,1061
route__net__special,2
route__drc_errors__iter:0,788
route__wirelength__iter:0,36201
route__drc_errors__iter:1,368
route__wirelength__iter:1,35788
route__drc_errors__iter:2,394
route__wirelength__iter:2,35679
route__drc_errors__iter:3,43
route__wirelength__iter:3,35650
route__drc_errors__iter:4,1
route__wirelength__iter:4,35628
route__drc_errors__iter:5,0
route__wirelength__iter:5,35625
route__drc_errors,0
route__wirelength,35625
route__vias,8625
route__vias__singlecut,8625
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,14
design__critical_disconnected_pin__count,0
route__wirelength__max,312.81
timing__unannotated_net__count__corner:nom_tt_025C_1v80,36
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,36
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
