Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,1
design__inferred_latch__count,0
design__instance__count,14248
design__instance__area,72564.6
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,43
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,29
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.008952307514846325
power__switching__total,0.008928230032324791
power__leakage__total,7.238653410013285E-8
power__total,0.01788060925900936
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.2858147410754442
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.28450195782284815
timing__hold__ws__corner:nom_tt_025C_1v80,0.31974429564618256
timing__setup__ws__corner:nom_tt_025C_1v80,9.92527155223283
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.319744
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,9.925272
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,564
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,29
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.30419287394449707
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.3029176717423474
timing__hold__ws__corner:nom_ss_100C_1v60,0.8864826901237555
timing__setup__ws__corner:nom_ss_100C_1v60,-0.05520206670242325
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,-0.05520206670242325
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,-0.05520206670242325
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.886483
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,1
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,-0.055202
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,1
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,29
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.2760935447301653
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.2747523120117586
timing__hold__ws__corner:nom_ff_n40C_1v95,0.10821244206994872
timing__setup__ws__corner:nom_ff_n40C_1v95,10.9384966402985
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.108212
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,13.566389
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,668
design__max_fanout_violation__count,29
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.27300862343554305
clock__skew__worst_setup,0.27216249468897047
timing__hold__ws,0.10626838598769718
timing__setup__ws,-0.28464875706643095
timing__hold__tns,0.0
timing__setup__tns,-0.4723954694461619
timing__hold__wns,0
timing__setup__wns,-0.28464875706643095
timing__hold_vio__count,0
timing__hold_r2r__ws,0.106268
timing__hold_r2r_vio__count,0
timing__setup_vio__count,4
timing__setup_r2r__ws,-0.284649
timing__setup_r2r_vio__count,4
design__die__bbox,0.0 0.0 334.88 225.76
design__core__bbox,2.76 2.72 332.12 223.04
design__io,45
design__die__area,75602.5
design__core__area,72564.6
design__instance__count__stdcell,4113
design__instance__area__stdcell,37836.3
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.521415
design__instance__utilization__stdcell,0.521415
design__rows,81
design__rows:unithd,81
design__sites,57996
design__sites:unithd,57996
design__instance__count__class:buffer,11
design__instance__area__class:buffer,55.0528
design__instance__count__class:inverter,36
design__instance__area__class:inverter,135.13
design__instance__count__class:sequential_cell,406
design__instance__area__class:sequential_cell,9902
design__instance__count__class:multi_input_combinational_cell,1964
design__instance__area__class:multi_input_combinational_cell,20144.3
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,10135
design__instance__area__class:fill_cell,34728.3
design__instance__count__class:tap_cell,1037
design__instance__area__class:tap_cell,1297.49
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,1618.81
design__instance__displacement__mean,0.38
design__instance__displacement__max,10.319
route__wirelength__estimated,112792
design__violations,0
design__instance__count__class:timing_repair_buffer,574
design__instance__area__class:timing_repair_buffer,5312.6
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,65
design__instance__area__class:clock_buffer,857.072
design__instance__count__class:clock_inverter,3
design__instance__area__class:clock_inverter,90.0864
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,300
global_route__vias,40
global_route__wirelength,177405
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,7
design__instance__count__class:antenna_cell,17
design__instance__area__class:antenna_cell,42.5408
route__net,3051
route__net__special,2
route__drc_errors__iter:0,20
route__wirelength__iter:0,128048
route__drc_errors__iter:1,0
route__wirelength__iter:1,128032
route__drc_errors__iter:2,12
route__wirelength__iter:2,128069
route__drc_errors__iter:3,0
route__wirelength__iter:3,128053
route__drc_errors__iter:4,4
route__wirelength__iter:4,128081
route__drc_errors__iter:5,0
route__wirelength__iter:5,128080
route__drc_errors,0
route__wirelength,128032
route__vias,24301
route__vias__singlecut,24301
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,1
design__critical_disconnected_pin__count,0
route__wirelength__max,453.56
timing__unannotated_net__count__corner:nom_tt_025C_1v80,34
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,34
